"leading_edge_index","leading_edge_val","count","crossed_frac"
0,12,1790,0.179
0,13,2476,0.2476
0,14,4040,0.404
0,15,6471,0.6471
0,16,8802,0.8802
0,17,9404,0.9404
8,12,1706,0.1706
8,13,2503,0.2503
8,14,4113,0.4113
8,15,6640,0.664
8,16,9167,0.9167
8,17,9973,0.9973
16,12,1675,0.1675
16,13,2471,0.2471
16,14,4030,0.403
16,15,6579,0.6579
16,16,9117,0.9117
16,17,9980,0.998
24,12,1612,0.1612
24,13,2400,0.24
24,14,3987,0.3987
24,15,6508,0.6508
24,16,9070,0.907
24,17,9969,0.9969
32,12,1601,0.1601
32,13,2385,0.2385
32,14,4043,0.4043
32,15,6463,0.6463
32,16,9103,0.9103
32,17,9971,0.9971
40,12,1540,0.154
40,13,2365,0.2365
40,14,3970,0.397
40,15,6375,0.6375
40,16,9081,0.9081
40,17,9949,0.9949
48,12,1554,0.1554
48,13,2311,0.2311
48,14,3875,0.3875
48,15,6514,0.6514
48,16,8980,0.898
48,17,9961,0.9961
56,12,1476,0.1476
56,13,2185,0.2185
56,14,3930,0.393
56,15,6388,0.6388
56,16,9026,0.9026
56,17,9963,0.9963
64,12,1445,0.1445
64,13,2241,0.2241
64,14,3860,0.386
64,15,6378,0.6378
64,16,9031,0.9031
64,17,9962,0.9962
72,12,1445,0.1445
72,13,2143,0.2143
72,14,3838,0.3838
72,15,6432,0.6432
72,16,9010,0.901
72,17,9959,0.9959
80,12,1389,0.1389
80,13,2124,0.2124
80,14,3744,0.3744
80,15,6388,0.6388
80,16,9013,0.9013
80,17,9967,0.9967
88,12,1314,0.1314
88,13,2004,0.2004
88,14,3742,0.3742
88,15,6376,0.6376
88,16,8996,0.8996
88,17,9968,0.9968
96,12,1286,0.1286
96,13,2039,0.2039
96,14,3624,0.3624
96,15,6258,0.6258
96,16,8995,0.8995
96,17,9962,0.9962
104,12,1230,0.123
104,13,2032,0.2032
104,14,3595,0.3595
104,15,6288,0.6288
104,16,9000,0.9
104,17,9964,0.9964
112,12,1177,0.1177
112,13,1851,0.1851
112,14,3551,0.3551
112,15,6211,0.6211
112,16,9007,0.9007
112,17,9954,0.9954
120,12,1111,0.1111
120,13,1847,0.1847
120,14,3558,0.3558
120,15,6250,0.625
120,16,8983,0.8983
120,17,9964,0.9964
128,12,1028,0.1028
128,13,1847,0.1847
128,14,3448,0.3448
128,15,6086,0.6086
128,16,8987,0.8987
128,17,9967,0.9967
136,12,1060,0.106
136,13,1802,0.1802
136,14,3415,0.3415
