"leading_edge_index","leading_edge_val","count","crossed_frac","extra_orgs"
0,12,1790,0.179,7
0,13,2476,0.2476,7
0,14,4040,0.404,7
0,15,6471,0.6471,7
0,16,8802,0.8802,7
0,17,9404,0.9404,7
8,12,1706,0.1706,7
8,13,2503,0.2503,7
8,14,4113,0.4113,7
8,15,6640,0.664,7
8,16,9167,0.9167,7
8,17,9973,0.9973,7
16,12,1675,0.1675,7
16,13,2471,0.2471,7
16,14,4030,0.403,7
16,15,6579,0.6579,7
16,16,9117,0.9117,7
16,17,9980,0.998,7
24,12,1612,0.1612,7
24,13,2400,0.24,7
24,14,3987,0.3987,7
24,15,6508,0.6508,7
24,16,9070,0.907,7
24,17,9969,0.9969,7
32,12,1601,0.1601,7
32,13,2385,0.2385,7
32,14,4043,0.4043,7
32,15,6463,0.6463,7
32,16,9103,0.9103,7
32,17,9971,0.9971,7
40,12,1540,0.154,7
40,13,2365,0.2365,7
40,14,3970,0.397,7
40,15,6375,0.6375,7
40,16,9081,0.9081,7
40,17,9949,0.9949,7
48,12,1554,0.1554,7
48,13,2311,0.2311,7
48,14,3875,0.3875,7
48,15,6514,0.6514,7
48,16,8980,0.898,7
48,17,9961,0.9961,7
56,12,1476,0.1476,7
56,13,2185,0.2185,7
56,14,3930,0.393,7
56,15,6388,0.6388,7
56,16,9026,0.9026,7
56,17,9963,0.9963,7
64,12,1445,0.1445,7
64,13,2241,0.2241,7
64,14,3860,0.386,7
64,15,6378,0.6378,7
64,16,9031,0.9031,7
64,17,9962,0.9962,7
72,12,1445,0.1445,7
72,13,2143,0.2143,7
72,14,3838,0.3838,7
72,15,6432,0.6432,7
72,16,9010,0.901,7
72,17,9959,0.9959,7
80,12,1389,0.1389,7
80,13,2124,0.2124,7
80,14,3744,0.3744,7
80,15,6388,0.6388,7
80,16,9013,0.9013,7
80,17,9967,0.9967,7
88,12,1314,0.1314,7
88,13,2004,0.2004,7
88,14,3742,0.3742,7
88,15,6376,0.6376,7
88,16,8996,0.8996,7
88,17,9968,0.9968,7
96,12,1286,0.1286,7
96,13,2039,0.2039,7
96,14,3624,0.3624,7
96,15,6258,0.6258,7
96,16,8995,0.8995,7
96,17,9962,0.9962,7
104,12,1230,0.123,7
104,13,2032,0.2032,7
104,14,3595,0.3595,7
104,15,6288,0.6288,7
104,16,9000,0.9,7
104,17,9964,0.9964,7
112,12,1177,0.1177,7
112,13,1851,0.1851,7
112,14,3551,0.3551,7
112,15,6211,0.6211,7
112,16,9007,0.9007,7
112,17,9954,0.9954,7
120,12,1111,0.1111,7
120,13,1847,0.1847,7
120,14,3558,0.3558,7
120,15,6250,0.625,7
120,16,8983,0.8983,7
120,17,9964,0.9964,7
128,12,1028,0.1028,7
128,13,1847,0.1847,7
128,14,3448,0.3448,7
128,15,6086,0.6086,7
128,16,8987,0.8987,7
128,17,9967,0.9967,7
136,12,1060,0.106,7
136,13,1802,0.1802,7
136,14,3415,0.3415,7
136,15,6117,0.6117,7
136,16,8950,0.895,7
136,17,9958,0.9958,7
144,12,1011,0.1011,7
144,13,1753,0.1753,7
144,14,3322,0.3322,7
144,15,6080,0.608,7
144,16,8937,0.8937,7
144,17,9953,0.9953,7
152,12,938,0.0938,7
152,13,1787,0.1787,7
152,14,3343,0.3343,7
152,15,6031,0.6031,7
152,16,8887,0.8887,7
152,17,9950,0.995,7
160,12,895,0.0895,7
160,13,1626,0.1626,7
160,14,3270,0.327,7
160,15,6104,0.6104,7
160,16,8933,0.8933,7
160,17,9946,0.9946,7
168,12,872,0.0872,7
168,13,1633,0.1633,7
168,14,3258,0.3258,7
168,15,5979,0.5979,7
168,16,8892,0.8892,7
168,17,9957,0.9957,7
176,12,819,0.0819,7
176,13,1514,0.1514,7
176,14,3131,0.3131,7
176,15,5795,0.5795,7
176,16,8876,0.8876,7
176,17,9961,0.9961,7
184,12,792,0.0792,7
184,13,1498,0.1498,7
184,14,3162,0.3162,7
184,15,5947,0.5947,7
184,16,8867,0.8867,7
184,17,9952,0.9952,7
192,12,763,0.0763,7
192,13,1451,0.1451,7
192,14,3131,0.3131,7
192,15,5815,0.5815,7
192,16,8891,0.8891,7
192,17,9948,0.9948,7
200,12,697,0.0697,7
200,13,1373,0.1373,7
200,14,3037,0.3037,7
200,15,5792,0.5792,7
200,16,8841,0.8841,7
200,17,9961,0.9961,7
208,12,650,0.065,7
208,13,1320,0.132,7
208,14,2932,0.2932,7
208,15,5730,0.573,7
208,16,8806,0.8806,7
208,17,9945,0.9945,7
216,12,680,0.068,7
216,13,1257,0.1257,7
216,14,2954,0.2954,7
216,15,5647,0.5647,7
216,16,8820,0.882,7
216,17,9957,0.9957,7
224,12,593,0.0593,7
224,13,1259,0.1259,7
224,14,2892,0.2892,7
224,15,5628,0.5628,7
224,16,8819,0.8819,7
224,17,9945,0.9945,7
232,12,568,0.0568,7
232,13,1216,0.1216,7
232,14,2791,0.2791,7
232,15,5578,0.5578,7
232,16,8737,0.8737,7
232,17,9952,0.9952,7
240,12,470,0.047,7
240,13,1137,0.1137,7
240,14,2706,0.2706,7
240,15,5600,0.56,7
240,16,8775,0.8775,7
240,17,9945,0.9945,7
248,12,500,0.05,7
248,13,1066,0.1066,7
248,14,2594,0.2594,7
248,15,5423,0.5423,7
248,16,8749,0.8749,7
248,17,9953,0.9953,7
256,12,445,0.0445,7
256,13,1042,0.1042,7
256,14,2570,0.257,7
256,15,5458,0.5458,7
256,16,8767,0.8767,7
256,17,9952,0.9952,7
264,12,448,0.0448,7
264,13,997,0.0997,7
264,14,2523,0.2523,7
264,15,5342,0.5342,7
264,16,8663,0.8663,7
264,17,9945,0.9945,7
272,12,389,0.0389,7
272,13,921,0.0921,7
272,14,2429,0.2429,7
272,15,5338,0.5338,7
272,16,8790,0.879,7
272,17,9949,0.9949,7
280,12,363,0.0363,7
280,13,910,0.091,7
280,14,2354,0.2354,7
280,15,5275,0.5275,7
280,16,8641,0.8641,7
280,17,9949,0.9949,7
288,12,346,0.0346,7
288,13,841,0.0841,7
288,14,2199,0.2199,7
288,15,5221,0.5221,7
288,16,8597,0.8597,7
288,17,9943,0.9943,7
296,12,295,0.0295,7
296,13,721,0.0721,7
296,14,2235,0.2235,7
296,15,4967,0.4967,7
296,16,8606,0.8606,7
296,17,9945,0.9945,7
304,12,247,0.0247,7
304,13,739,0.0739,7
304,14,2061,0.2061,7
304,15,4988,0.4988,7
304,16,8653,0.8653,7
304,17,9960,0.996,7
312,12,235,0.0235,7
312,13,709,0.0709,7
312,14,2135,0.2135,7
312,15,4954,0.4954,7
312,16,8600,0.86,7
312,17,9940,0.994,7
320,12,198,0.0198,7
320,13,596,0.0596,7
320,14,1966,0.1966,7
320,15,4812,0.4812,7
320,16,8563,0.8563,7
320,17,9944,0.9944,7
328,12,203,0.0203,7
328,13,618,0.0618,7
328,14,1867,0.1867,7
328,15,4719,0.4719,7
328,16,8454,0.8454,7
328,17,9944,0.9944,7
336,12,156,0.0156,7
336,13,552,0.0552,7
336,14,1750,0.175,7
336,15,4662,0.4662,7
336,16,8489,0.8489,7
336,17,9946,0.9946,7
344,12,141,0.0141,7
344,13,485,0.0485,7
344,14,1632,0.1632,7
344,15,4456,0.4456,7
344,16,8424,0.8424,7
344,17,9947,0.9947,7
352,12,131,0.0131,7
352,13,491,0.0491,7
352,14,1667,0.1667,7
352,15,4369,0.4369,7
352,16,8472,0.8472,7
352,17,9946,0.9946,7
360,12,105,0.0105,7
360,13,420,0.042,7
360,14,1453,0.1453,7
360,15,4206,0.4206,7
360,16,8396,0.8396,7
360,17,9936,0.9936,7
368,12,116,0.0116,7
368,13,347,0.0347,7
368,14,1401,0.1401,7
368,15,4162,0.4162,7
368,16,8300,0.83,7
368,17,9931,0.9931,7
376,12,99,0.0099,7
376,13,335,0.0335,7
376,14,1342,0.1342,7
376,15,4052,0.4052,7
376,16,8296,0.8296,7
376,17,9931,0.9931,7
384,12,70,0.007,7
384,13,263,0.0263,7
384,14,1200,0.12,7
384,15,3837,0.3837,7
384,16,8149,0.8149,7
384,17,9921,0.9921,7
392,12,47,0.0047,7
392,13,240,0.024,7
392,14,1092,0.1092,7
392,15,3743,0.3743,7
392,16,8158,0.8158,7
392,17,9938,0.9938,7
400,12,49,0.0049,7
400,13,207,0.0207,7
400,14,985,0.0985,7
400,15,3523,0.3523,7
400,16,8005,0.8005,7
400,17,9922,0.9922,7
408,12,46,0.0046,7
408,13,171,0.0171,7
408,14,876,0.0876,7
408,15,3355,0.3355,7
408,16,7899,0.7899,7
408,17,9909,0.9909,7
416,12,33,0.0033,7
416,13,156,0.0156,7
416,14,781,0.0781,7
416,15,3128,0.3128,7
416,16,7757,0.7757,7
416,17,9923,0.9923,7
424,12,27,0.0027,7
424,13,126,0.0126,7
424,14,661,0.0661,7
424,15,2873,0.2873,7
424,16,7664,0.7664,7
424,17,9911,0.9911,7
432,12,23,0.0023,7
432,13,83,0.0083,7
432,14,620,0.062,7
432,15,2685,0.2685,7
432,16,7496,0.7496,7
432,17,9903,0.9903,7
440,12,13,0.0013,7
440,13,66,0.0066,7
440,14,502,0.0502,7
440,15,2400,0.24,7
440,16,7295,0.7295,7
440,17,9903,0.9903,7
448,12,15,0.0015,7
448,13,61,0.0061,7
448,14,345,0.0345,7
448,15,2143,0.2143,7
448,16,7041,0.7041,7
448,17,9872,0.9872,7
456,12,12,0.0012,7
456,13,28,0.0028,7
456,14,316,0.0316,7
456,15,1872,0.1872,7
456,16,6699,0.6699,7
456,17,9844,0.9844,7
464,12,8,8e-04,7
464,13,26,0.0026,7
464,14,235,0.0235,7
464,15,1561,0.1561,7
464,16,6336,0.6336,7
464,17,9808,0.9808,7
472,12,5,5e-04,7
472,13,13,0.0013,7
472,14,163,0.0163,7
472,15,1296,0.1296,7
472,16,5719,0.5719,7
472,17,9827,0.9827,7
480,12,3,3e-04,7
480,13,16,0.0016,7
480,14,94,0.0094,7
480,15,934,0.0934,7
480,16,4999,0.4999,7
480,17,9760,0.976,7
488,12,6,6e-04,7
488,13,14,0.0014,7
488,14,70,0.007,7
488,15,644,0.0644,7
488,16,4001,0.4001,7
488,17,9661,0.9661,7
496,12,4,4e-04,7
496,13,8,8e-04,7
496,14,27,0.0027,7
496,15,307,0.0307,7
496,16,2652,0.2652,7
496,17,9369,0.9369,7
504,12,5,5e-04,7
504,13,3,3e-04,7
504,14,22,0.0022,7
504,15,142,0.0142,7
504,16,1377,0.1377,7
504,17,8190,0.819,7
0,12,1740,0.174,7
0,13,2515,0.2515,7
0,14,4085,0.4085,7
0,15,6437,0.6437,7
0,16,8820,0.882,7
0,17,9430,0.943,7
8,12,1772,0.1772,7
8,13,2524,0.2524,7
