slurm_task_id,trial_id,relative_update,cross_counter
1,2,241,1
1,12,625,1
1,13,661,1
1,14,287,1
2,2,644,1
2,28,621,1
2,31,483,1
2,39,656,1
3,5,293,1
3,15,218,1
3,15,336,2
3,18,350,1
3,21,304,1
3,22,195,1
3,41,383,1
3,46,322,1
4,25,642,1
4,26,539,1
4,27,658,1
4,30,392,1
4,33,611,1
4,36,337,1
4,39,582,1
4,44,289,1
4,47,625,1
5,3,367,1
5,15,663,1
5,43,153,1
5,45,453,1
5,50,401,1
6,2,653,1
6,4,503,1
6,7,576,1
6,18,192,1
6,20,604,1
6,33,326,1
6,48,433,1
7,5,633,1
7,6,634,1
7,13,526,1
7,20,732,1
7,22,650,1
7,30,439,1
7,32,607,1
7,35,300,1
7,41,596,1
7,43,644,1
8,1,689,1
8,5,766,1
8,16,266,1
8,18,526,1
8,22,627,1
8,24,401,1
8,38,442,1
8,44,588,1
9,1,479,1
9,3,328,1
9,6,758,1
9,7,376,1
9,20,399,1
9,21,563,1
9,25,503,1
9,31,280,1
9,49,157,1
10,8,432,1
10,14,641,1
10,29,673,1
10,34,515,1
10,35,336,1
10,47,461,1
11,5,253,1
11,6,317,1
11,16,256,1
11,19,576,1
11,21,332,1
11,22,262,1
11,26,347,1
11,29,283,1
11,29,342,2
11,31,536,1
11,36,556,1
11,37,457,1
11,43,487,1
11,45,345,1
12,1,387,1
12,3,444,1
12,12,635,1
12,16,673,1
12,21,266,1
12,26,331,1
12,34,412,1
12,34,137,2
12,45,574,1
12,49,639,1
13,2,574,1
13,11,344,1
13,18,615,1
13,21,126,1
13,28,495,1
13,29,451,1
13,30,652,1
13,36,483,1
14,1,385,1
14,10,625,1
14,19,240,1
14,23,634,1
14,28,289,1
14,37,357,1
15,6,379,1
15,12,577,1
15,14,559,1
15,15,347,1
15,16,689,1
15,19,429,1
15,25,666,1
15,30,611,1
15,31,571,1
15,36,464,1
15,40,359,1
15,48,460,1
16,1,321,1
16,2,294,1
16,3,275,1
16,7,369,1
16,8,608,1
16,11,164,1
16,11,230,2
16,20,314,1
16,22,357,1
16,26,383,1
16,28,214,1
16,31,459,1
16,31,183,2
16,35,601,1
16,36,280,1
16,36,169,2
16,39,310,1
16,41,294,1
17,19,484,1
17,22,650,1
17,26,151,1
17,30,512,1
17,31,631,1
17,33,469,1
18,4,654,1
18,12,663,1
18,13,301,1
18,14,422,1
18,15,553,1
18,18,328,1
18,39,429,1
18,41,560,1
19,20,238,1
19,28,304,1
19,31,390,1
19,33,330,1
19,36,288,1
19,48,470,1
20,2,377,1
20,5,521,1
20,7,581,1
20,9,554,1
20,13,429,1
20,23,268,1
20,24,729,1
20,26,332,1
20,26,251,2
20,28,565,1
20,34,304,1
20,41,401,1
20,42,521,1
20,43,291,1
21,3,275,1
21,8,622,1
21,17,290,1
21,17,131,2
21,21,377,1
21,42,453,1
21,43,550,1
21,45,480,1
22,3,648,1
22,19,281,1
22,21,645,1
22,25,269,1
22,30,489,1
22,31,395,1
22,37,631,1
22,48,389,1
23,10,685,1
23,15,481,1
23,35,629,1
23,37,562,1
24,1,486,1
24,5,306,1
24,10,494,1
24,18,622,1
24,25,429,1
24,35,483,1
24,40,547,1
24,45,286,1
24,48,496,1
25,1,490,1
25,9,767,1
25,11,399,1
25,13,292,1
25,18,228,1
25,24,566,1
25,26,626,1
25,27,473,1
25,29,404,1
25,30,516,1
25,49,618,1
26,1,569,1
26,16,501,1
26,20,492,1
26,21,375,1
26,28,545,1
26,37,672,1
26,45,492,1
26,46,712,1
26,47,497,1
27,1,623,1
27,3,746,1
27,5,562,1
27,10,432,1
27,16,686,1
27,26,283,1
27,48,448,1
27,48,243,2
28,1,587,1
28,8,703,1
28,9,521,1
28,15,584,1
28,18,618,1
28,22,578,1
28,24,516,1
28,28,688,1
28,33,525,1
28,34,653,1
28,38,263,1
28,42,311,1
28,44,577,1
28,47,368,1
29,2,408,1
29,8,480,1
29,9,532,1
29,11,606,1
29,13,601,1
29,14,282,1
29,22,491,1
29,27,510,1
29,44,469,1
29,45,609,1
29,46,604,1
29,48,300,1
29,49,595,1
30,9,488,1
30,15,562,1
30,17,224,1
31,1,352,1
31,3,313,1
31,3,313,2
31,6,518,1
31,11,382,1
31,14,606,1
31,24,548,1
31,32,303,1
31,42,225,1
31,45,446,1
32,2,545,1
32,7,358,1
32,20,492,1
32,21,555,1
32,27,405,1
32,41,717,1
32,43,367,1
32,44,627,1
33,3,407,1
33,4,393,1
33,5,265,1
33,8,355,1
