"leading_edge_index","leading_edge_val","slurm_array_task_id","count","crossed_frac"
0,12,1,62,0.0062
0,13,65,359,0.0359
0,14,129,2157,0.2157
0,15,193,8219,0.8219
0,16,257,10000,1
0,17,321,10000,1
8,12,2,80,0.008
8,13,66,374,0.0374
8,14,130,2214,0.2214
8,15,194,8278,0.8278
8,16,258,10000,1
8,17,322,10000,1
16,12,3,77,0.0077
16,13,67,339,0.0339
16,14,131,2154,0.2154
16,15,195,8242,0.8242
16,16,259,10000,1
16,17,323,10000,1
24,12,4,86,0.0086
24,13,68,407,0.0407
24,14,132,2195,0.2195
24,15,196,8208,0.8208
24,16,260,10000,1
24,17,324,10000,1
32,12,5,78,0.0078
32,13,69,349,0.0349
32,14,133,2130,0.213
32,15,197,8168,0.8168
32,16,261,10000,1
32,17,325,10000,1
40,12,6,80,0.008
40,13,70,364,0.0364
40,14,134,2198,0.2198
40,15,198,8228,0.8228
40,16,262,10000,1
40,17,326,10000,1
48,12,7,80,0.008
48,13,71,374,0.0374
48,14,135,2211,0.2211
48,15,199,8159,0.8159
48,16,263,10000,1
48,17,327,10000,1
56,12,8,92,0.0092
56,13,72,390,0.039
56,14,136,2181,0.2181
56,15,200,8121,0.8121
56,16,264,10000,1
56,17,328,10000,1
64,12,9,92,0.0092
64,13,73,377,0.0377
64,14,137,2099,0.2099
64,15,201,8201,0.8201
64,16,265,10000,1
64,17,329,10000,1
72,12,10,69,0.0069
72,13,74,348,0.0348
72,14,138,2228,0.2228
72,15,202,8198,0.8198
72,16,266,10000,1
72,17,330,10000,1
80,12,11,83,0.0083
80,13,75,349,0.0349
80,14,139,2119,0.2119
80,15,203,8230,0.823
80,16,267,10000,1
80,17,331,10000,1
88,12,12,74,0.0074
88,13,76,399,0.0399
88,14,140,2176,0.2176
88,15,204,8213,0.8213
88,16,268,10000,1
88,17,332,10000,1
96,12,13,82,0.0082
96,13,77,388,0.0388
96,14,141,2210,0.221
96,15,205,8249,0.8249
96,16,269,10000,1
96,17,333,10000,1
104,12,14,67,0.0067
104,13,78,354,0.0354
104,14,142,2137,0.2137
104,15,206,8160,0.816
104,16,270,9999,0.9999
104,17,334,10000,1
112,12,15,99,0.0099
112,13,79,395,0.0395
112,14,143,2148,0.2148
112,15,207,8201,0.8201
112,16,271,10000,1
112,17,335,10000,1
120,12,16,77,0.0077
120,13,80,338,0.0338
120,14,144,2158,0.2158
120,15,208,8287,0.8287
120,16,272,9999,0.9999
120,17,336,10000,1
128,12,17,81,0.0081
128,13,81,399,0.0399
128,14,145,2175,0.2175
128,15,209,8168,0.8168
128,16,273,10000,1
128,17,337,10000,1
136,12,18,80,0.008
136,13,82,381,0.0381
136,14,146,2158,0.2158
136,15,210,8210,0.821
136,16,274,9999,0.9999
136,17,338,10000,1
144,12,19,82,0.0082
144,13,83,369,0.0369
144,14,147,2155,0.2155
144,15,211,8236,0.8236
144,16,275,10000,1
144,17,339,10000,1
152,12,20,79,0.0079
152,13,84,361,0.0361
152,14,148,2185,0.2185
152,15,212,8230,0.823
152,16,276,10000,1
152,17,340,10000,1
160,12,21,85,0.0085
160,13,85,370,0.037
160,14,149,2233,0.2233
160,15,213,8263,0.8263
160,16,277,10000,1
160,17,341,10000,1
168,12,22,72,0.0072
168,13,86,361,0.0361
168,14,150,2208,0.2208
168,15,214,8225,0.8225
168,16,278,10000,1
168,17,342,10000,1
176,12,23,82,0.0082
176,13,87,351,0.0351
176,14,151,2214,0.2214
176,15,215,8229,0.8229
176,16,279,10000,1
176,17,343,10000,1
184,12,24,85,0.0085
184,13,88,341,0.0341
184,14,152,2198,0.2198
184,15,216,8260,0.826
184,16,280,10000,1
184,17,344,10000,1
192,12,25,65,0.0065
192,13,89,376,0.0376
192,14,153,2197,0.2197
192,15,217,8261,0.8261
192,16,281,10000,1
192,17,345,10000,1
200,12,26,98,0.0098
200,13,90,390,0.039
200,14,154,2213,0.2213
200,15,218,8206,0.8206
200,16,282,10000,1
200,17,346,10000,1
208,12,27,70,0.007
208,13,91,379,0.0379
208,14,155,2133,0.2133
208,15,219,8161,0.8161
208,16,283,10000,1
208,17,347,10000,1
216,12,28,92,0.0092
216,13,92,364,0.0364
216,14,156,2209,0.2209
216,15,220,8188,0.8188
216,16,284,10000,1
216,17,348,10000,1
224,12,29,81,0.0081
224,13,93,357,0.0357
224,14,157,2183,0.2183
