"slurm_task_id","replay_gen","count","frac_crossed"
1,1,4,0.004
2,5,6,0.006
3,9,5,0.005
4,13,7,0.007
5,17,14,0.014
6,21,10,0.01
7,25,15,0.015
8,29,12,0.012
9,33,12,0.012
10,37,8,0.008
11,41,13,0.013
12,45,9,0.009
13,49,11,0.011
14,53,5,0.005
15,57,12,0.012
16,61,15,0.015
17,65,16,0.016
18,69,5,0.005
19,73,11,0.011
20,77,16,0.016
21,81,12,0.012
22,85,7,0.007
23,89,7,0.007
24,93,6,0.006
25,97,12,0.012
26,101,25,0.025
27,105,13,0.013
28,109,19,0.019
29,113,23,0.023
30,117,10,0.01
31,121,20,0.02
32,125,9,0.009
33,129,20,0.02
34,133,21,0.021
35,137,10,0.01
36,141,14,0.014
37,145,22,0.022
38,149,15,0.015
39,153,13,0.013
40,157,19,0.019
41,161,13,0.013
42,165,19,0.019
43,169,18,0.018
44,173,44,0.044
45,177,21,0.021
46,181,15,0.015
47,185,13,0.013
48,189,16,0.016
49,193,15,0.015
50,197,24,0.024
51,201,17,0.017
52,205,15,0.015
53,209,11,0.011
54,213,28,0.028
55,217,20,0.02
56,221,89,0.089
57,225,85,0.085
58,229,88,0.088
59,233,104,0.104
60,237,79,0.079
61,241,80,0.08
62,245,76,0.076
63,249,87,0.087
64,253,97,0.097
65,257,83,0.083
66,261,71,0.071
67,265,61,0.061
68,269,66,0.066
69,273,74,0.074
70,277,58,0.058
71,281,67,0.067
72,285,76,0.076
73,289,54,0.054
74,293,60,0.06
75,297,54,0.054
76,301,52,0.052
77,305,56,0.056
78,309,48,0.048
79,313,41,0.041
80,317,51,0.051
81,321,49,0.049
82,325,41,0.041
83,329,37,0.037
84,333,40,0.04
85,337,27,0.027
86,341,39,0.039
87,345,44,0.044
88,349,30,0.03
89,353,36,0.036
90,357,49,0.049
91,361,23,0.023
92,365,29,0.029
93,369,35,0.035
94,373,37,0.037
95,377,72,0.072
96,381,84,0.084
97,385,102,0.102
98,389,76,0.076
99,393,82,0.082
100,397,67,0.067
101,401,67,0.067
102,405,69,0.069
103,409,60,0.06
104,413,74,0.074
105,417,53,0.053
106,421,57,0.057
107,425,64,0.064
108,429,40,0.04
109,433,51,0.051
110,437,15,0.015
111,441,17,0.017
112,445,14,0.014
113,449,17,0.017
114,453,7,0.007
115,457,38,0.038
116,461,37,0.037
117,465,37,0.037
118,469,37,0.037
119,473,31,0.031
120,477,31,0.031
121,481,24,0.024
122,485,28,0.028
123,489,21,0.021
124,493,34,0.034
125,497,109,0.109
126,501,99,0.099
127,505,86,0.086
128,509,80,0.08
129,513,105,0.105
130,517,24,0.024
131,521,17,0.017
132,525,17,0.017
133,529,15,0.015
134,533,57,0.057
135,537,54,0.054
136,541,57,0.057
137,545,50,0.05
138,549,56,0.056
139,553,44,0.044
140,557,50,0.05
141,561,40,0.04
142,565,33,0.033
143,569,38,0.038
144,573,31,0.031
145,577,32,0.032
146,581,22,0.022
147,585,20,0.02
148,589,23,0.023
149,593,17,0.017
150,597,18,0.018
151,601,13,0.013
152,605,13,0.013
153,609,13,0.013
154,613,12,0.012
155,617,5,0.005
156,621,1,0.001
157,625,6,0.006
158,629,3,0.003
159,633,4,0.004
160,637,4,0.004
161,641,3,0.003
162,645,2,0.002
163,649,3,0.003
164,653,5,0.005
165,657,5,0.005
166,661,2,0.002
167,665,2,0.002
168,669,1,0.001
169,673,1,0.001
170,677,1,0.001
171,681,1,0.001
172,685,2,0.002
174,693,2,0.002
175,697,3,0.003
176,701,1,0.001
177,705,2,0.002
178,709,1,0.001
179,713,3,0.003
180,717,4,0.004
181,721,2,0.002
182,725,4,0.004
184,733,1,0.001
