"slurm_task_id","replay_gen","count","frac_crossed"
1,1,75,0.0075
2,2,55,0.0055
3,3,69,0.0069
4,4,84,0.0084
5,5,58,0.0058
6,6,65,0.0065
7,7,61,0.0061
8,8,68,0.0068
9,9,74,0.0074
10,10,59,0.0059
11,11,57,0.0057
12,12,69,0.0069
13,13,67,0.0067
14,14,59,0.0059
15,15,47,0.0047
16,16,53,0.0053
17,17,53,0.0053
18,18,72,0.0072
19,19,43,0.0043
20,20,65,0.0065
21,21,69,0.0069
22,22,68,0.0068
23,23,65,0.0065
24,24,63,0.0063
25,25,54,0.0054
26,26,63,0.0063
27,27,54,0.0054
28,28,59,0.0059
29,29,54,0.0054
30,30,55,0.0055
31,31,53,0.0053
32,32,52,0.0052
33,33,56,0.0056
34,34,41,0.0041
35,35,68,0.0068
36,36,53,0.0053
37,37,72,0.0072
38,38,41,0.0041
39,39,63,0.0063
40,40,62,0.0062
41,41,41,0.0041
42,42,46,0.0046
43,43,49,0.0049
44,44,47,0.0047
45,45,62,0.0062
46,46,48,0.0048
47,47,46,0.0046
48,48,50,0.005
49,49,35,0.0035
50,50,58,0.0058
51,51,50,0.005
52,52,50,0.005
53,53,51,0.0051
54,54,93,0.0093
55,55,103,0.0103
56,56,102,0.0102
57,57,89,0.0089
58,58,103,0.0103
59,59,112,0.0112
60,60,116,0.0116
61,61,195,0.0195
62,62,110,0.011
63,63,100,0.01
64,64,86,0.0086
65,65,87,0.0087
66,66,98,0.0098
67,67,95,0.0095
68,68,90,0.009
69,69,87,0.0087
70,70,95,0.0095
71,71,86,0.0086
72,72,99,0.0099
73,73,86,0.0086
74,74,90,0.009
75,75,92,0.0092
76,76,88,0.0088
77,77,80,0.008
78,78,75,0.0075
79,79,82,0.0082
80,80,78,0.0078
81,81,70,0.007
82,82,82,0.0082
83,83,96,0.0096
84,84,80,0.008
85,85,80,0.008
86,86,85,0.0085
87,87,64,0.0064
88,88,102,0.0102
89,89,74,0.0074
90,90,76,0.0076
91,91,71,0.0071
92,92,97,0.0097
93,93,73,0.0073
94,94,69,0.0069
95,95,93,0.0093
96,96,76,0.0076
97,97,74,0.0074
98,98,88,0.0088
99,99,83,0.0083
100,100,79,0.0079
101,101,78,0.0078
102,102,78,0.0078
103,103,83,0.0083
104,104,77,0.0077
105,105,91,0.0091
106,106,82,0.0082
107,107,69,0.0069
108,108,81,0.0081
109,109,70,0.007
110,110,72,0.0072
111,111,77,0.0077
112,112,169,0.0169
113,113,192,0.0192
114,114,159,0.0159
115,115,179,0.0179
116,116,172,0.0172
117,117,179,0.0179
118,118,150,0.015
119,119,167,0.0167
120,120,209,0.0209
121,121,195,0.0195
122,122,186,0.0186
123,123,180,0.018
124,124,201,0.0201
125,125,176,0.0176
126,126,178,0.0178
127,127,155,0.0155
128,128,166,0.0166
129,129,169,0.0169
130,130,163,0.0163
131,131,170,0.017
132,132,182,0.0182
133,133,164,0.0164
134,134,157,0.0157
135,135,155,0.0155
136,136,171,0.0171
137,137,369,0.0369
138,138,353,0.0353
139,139,404,0.0404
140,140,366,0.0366
141,141,408,0.0408
142,142,383,0.0383
143,143,380,0.038
144,144,416,0.0416
145,145,386,0.0386
146,146,382,0.0382
147,147,383,0.0383
148,148,414,0.0414
149,149,389,0.0389
150,150,360,0.036
151,151,409,0.0409
152,152,367,0.0367
153,153,389,0.0389
154,154,387,0.0387
155,155,373,0.0373
156,156,381,0.0381
157,157,391,0.0391
158,158,381,0.0381
159,159,384,0.0384
160,160,392,0.0392
161,161,362,0.0362
162,162,385,0.0385
163,163,384,0.0384
164,164,406,0.0406
165,165,385,0.0385
166,166,341,0.0341
167,167,360,0.036
168,168,391,0.0391
169,169,390,0.039
170,170,425,0.0425
171,171,364,0.0364
172,172,370,0.037
173,173,385,0.0385
174,174,385,0.0385
175,175,402,0.0402
176,176,332,0.0332
177,177,366,0.0366
178,178,370,0.037
179,179,361,0.0361
180,180,360,0.036
181,181,396,0.0396
182,182,350,0.035
183,183,349,0.0349
184,184,369,0.0369
185,185,387,0.0387
186,186,403,0.0403
187,187,381,0.0381
188,188,369,0.0369
189,189,334,0.0334
190,190,346,0.0346
191,191,370,0.037
192,192,357,0.0357
193,193,348,0.0348
194,194,331,0.0331
195,195,353,0.0353
196,196,337,0.0337
197,197,363,0.0363
198,198,355,0.0355
199,199,357,0.0357
200,200,367,0.0367
201,201,353,0.0353
202,202,361,0.0361
203,203,357,0.0357
204,204,346,0.0346
205,205,336,0.0336
206,206,350,0.035
207,207,340,0.034
208,208,351,0.0351
209,209,344,0.0344
210,210,362,0.0362
211,211,365,0.0365
212,212,348,0.0348
213,213,342,0.0342
214,214,354,0.0354
215,215,335,0.0335
216,216,333,0.0333
217,217,325,0.0325
218,218,332,0.0332
219,219,329,0.0329
220,220,332,0.0332
221,221,305,0.0305
222,222,313,0.0313
223,223,296,0.0296
224,224,309,0.0309
225,225,347,0.0347
226,226,358,0.0358
227,227,333,0.0333
228,228,279,0.0279
229,229,346,0.0346
230,230,332,0.0332
231,231,332,0.0332
232,232,294,0.0294
233,233,322,0.0322
234,234,300,0.03
235,235,317,0.0317
236,236,355,0.0355
237,237,316,0.0316
238,238,319,0.0319
239,239,341,0.0341
240,240,300,0.03
241,241,281,0.0281
242,242,519,0.0519
243,243,600,0.06
244,244,676,0.0676
245,245,642,0.0642
246,246,594,0.0594
247,247,578,0.0578
248,248,610,0.061
249,249,657,0.0657
250,250,595,0.0595
251,251,649,0.0649
252,252,639,0.0639
253,253,599,0.0599
254,254,579,0.0579
255,255,652,0.0652
256,256,606,0.0606
257,257,607,0.0607
258,258,620,0.062
259,259,449,0.0449
260,260,431,0.0431
261,261,350,0.035
262,262,331,0.0331
263,263,339,0.0339
264,264,275,0.0275
265,265,301,0.0301
266,266,297,0.0297
267,267,317,0.0317
268,268,327,0.0327
269,269,317,0.0317
270,270,317,0.0317
271,271,285,0.0285
272,272,358,0.0358
273,273,291,0.0291
274,274,322,0.0322
275,275,283,0.0283
276,276,301,0.0301
277,277,265,0.0265
278,278,324,0.0324
279,279,324,0.0324
280,280,268,0.0268
281,281,278,0.0278
282,282,286,0.0286
283,283,282,0.0282
284,284,238,0.0238
285,285,274,0.0274
286,286,268,0.0268
287,287,254,0.0254
288,288,266,0.0266
289,289,279,0.0279
290,290,288,0.0288
291,291,262,0.0262
292,292,251,0.0251
293,293,304,0.0304
294,294,279,0.0279
295,295,247,0.0247
296,296,283,0.0283
297,297,253,0.0253
298,298,271,0.0271
299,299,253,0.0253
300,300,258,0.0258
301,301,252,0.0252
302,302,262,0.0262
303,303,274,0.0274
304,304,291,0.0291
305,305,283,0.0283
306,306,283,0.0283
307,307,288,0.0288
308,308,248,0.0248
309,309,272,0.0272
310,310,255,0.0255
311,311,258,0.0258
312,312,271,0.0271
313,313,251,0.0251
314,314,256,0.0256
315,315,237,0.0237
316,316,248,0.0248
317,317,225,0.0225
318,318,256,0.0256
319,319,231,0.0231
320,320,240,0.024
321,321,234,0.0234
322,322,256,0.0256
323,323,216,0.0216
324,324,251,0.0251
325,325,224,0.0224
326,326,222,0.0222
327,327,203,0.0203
328,328,218,0.0218
329,329,228,0.0228
330,330,222,0.0222
331,331,245,0.0245
332,332,217,0.0217
333,333,245,0.0245
334,334,219,0.0219
335,335,251,0.0251
336,336,239,0.0239
337,337,232,0.0232
338,338,234,0.0234
339,339,220,0.022
340,340,220,0.022
341,341,215,0.0215
342,342,235,0.0235
343,343,204,0.0204
344,344,198,0.0198
345,345,195,0.0195
346,346,233,0.0233
347,347,240,0.024
348,348,180,0.018
349,349,192,0.0192
350,350,200,0.02
351,351,186,0.0186
352,352,161,0.0161
353,353,197,0.0197
354,354,216,0.0216
355,355,418,0.0418
356,356,360,0.036
357,357,381,0.0381
358,358,414,0.0414
359,359,437,0.0437
360,360,423,0.0423
361,361,463,0.0463
362,362,461,0.0461
363,363,451,0.0451
364,364,433,0.0433
365,365,485,0.0485
366,366,437,0.0437
367,367,413,0.0413
368,368,402,0.0402
369,369,370,0.037
370,370,347,0.0347
371,371,362,0.0362
372,372,179,0.0179
373,373,179,0.0179
374,374,136,0.0136
375,375,148,0.0148
376,376,136,0.0136
377,377,131,0.0131
378,378,144,0.0144
379,379,176,0.0176
380,380,200,0.02
381,381,187,0.0187
382,382,157,0.0157
383,383,142,0.0142
384,384,141,0.0141
385,385,198,0.0198
386,386,161,0.0161
387,387,145,0.0145
388,388,166,0.0166
389,389,145,0.0145
390,390,186,0.0186
391,391,172,0.0172
392,392,169,0.0169
393,393,141,0.0141
394,394,148,0.0148
395,395,119,0.0119
396,396,130,0.013
397,397,121,0.0121
398,398,103,0.0103
399,399,119,0.0119
400,400,110,0.011
401,401,114,0.0114
402,402,104,0.0104
403,403,110,0.011
404,404,113,0.0113
405,405,87,0.0087
406,406,94,0.0094
407,407,101,0.0101
408,408,93,0.0093
409,409,82,0.0082
410,410,83,0.0083
411,411,91,0.0091
412,412,92,0.0092
413,413,88,0.0088
414,414,86,0.0086
415,415,88,0.0088
416,416,83,0.0083
417,417,96,0.0096
418,418,78,0.0078
419,419,80,0.008
420,420,96,0.0096
421,421,81,0.0081
422,422,79,0.0079
423,423,76,0.0076
424,424,73,0.0073
425,425,63,0.0063
426,426,98,0.0098
427,427,83,0.0083
428,428,96,0.0096
429,429,102,0.0102
430,430,103,0.0103
431,431,75,0.0075
432,432,63,0.0063
433,433,69,0.0069
434,434,42,0.0042
435,435,47,0.0047
436,436,66,0.0066
437,437,70,0.007
438,438,56,0.0056
439,439,53,0.0053
440,440,41,0.0041
441,441,45,0.0045
442,442,52,0.0052
443,443,65,0.0065
444,444,47,0.0047
