"slurm_task_id","replay_gen","count","frac_crossed"
1,1,1776,0.1776
2,2,1692,0.1692
3,3,1781,0.1781
4,4,1736,0.1736
5,5,1665,0.1665
6,6,1735,0.1735
7,7,1624,0.1624
8,8,1759,0.1759
9,9,1752,0.1752
10,10,1756,0.1756
11,11,1745,0.1745
12,12,1724,0.1724
13,13,1773,0.1773
14,14,1719,0.1719
15,15,1712,0.1712
16,16,1655,0.1655
17,17,1609,0.1609
18,18,1709,0.1709
19,19,1642,0.1642
20,20,1671,0.1671
21,21,1683,0.1683
22,22,1685,0.1685
23,23,1673,0.1673
24,24,1603,0.1603
25,25,1719,0.1719
26,26,1639,0.1639
27,27,1656,0.1656
28,28,1590,0.159
29,29,1642,0.1642
30,30,1614,0.1614
31,31,1631,0.1631
32,32,1573,0.1573
33,33,1546,0.1546
34,34,1612,0.1612
35,35,1634,0.1634
36,36,1758,0.1758
37,37,2152,0.2152
38,38,2341,0.2341
39,39,2406,0.2406
40,40,2271,0.2271
41,41,2267,0.2267
42,42,2380,0.238
43,43,2343,0.2343
44,44,2359,0.2359
45,45,2363,0.2363
46,46,2308,0.2308
47,47,2355,0.2355
48,48,2329,0.2329
49,49,2303,0.2303
50,50,2287,0.2287
51,51,2252,0.2252
52,52,2396,0.2396
53,53,2202,0.2202
54,54,2220,0.222
55,55,2272,0.2272
56,56,2281,0.2281
57,57,2323,0.2323
58,58,2255,0.2255
59,59,2266,0.2266
60,60,2183,0.2183
61,61,2274,0.2274
62,62,2299,0.2299
63,63,2285,0.2285
64,64,2343,0.2343
65,65,2297,0.2297
66,66,2262,0.2262
67,67,2226,0.2226
68,68,2259,0.2259
69,69,2220,0.222
70,70,2268,0.2268
71,71,2216,0.2216
72,72,2262,0.2262
73,73,2239,0.2239
74,74,2171,0.2171
75,75,2209,0.2209
76,76,2209,0.2209
77,77,2242,0.2242
78,78,2195,0.2195
79,79,2153,0.2153
80,80,2188,0.2188
81,81,2181,0.2181
82,82,2176,0.2176
83,83,2126,0.2126
84,84,2203,0.2203
85,85,2120,0.212
86,86,2091,0.2091
87,87,2070,0.207
88,88,2152,0.2152
89,89,2188,0.2188
90,90,2061,0.2061
91,91,2083,0.2083
92,92,2102,0.2102
93,93,2219,0.2219
94,94,2053,0.2053
95,95,2093,0.2093
96,96,2116,0.2116
97,97,2044,0.2044
98,98,2129,0.2129
99,99,2065,0.2065
100,100,2093,0.2093
101,101,2127,0.2127
102,102,2015,0.2015
103,103,2073,0.2073
104,104,2016,0.2016
105,105,1999,0.1999
106,106,2074,0.2074
107,107,2052,0.2052
108,108,2120,0.212
109,109,2054,0.2054
110,110,2050,0.205
111,111,2076,0.2076
112,112,2004,0.2004
113,113,1961,0.1961
114,114,1964,0.1964
115,115,1981,0.1981
