"slurm_task_id","replay_gen","count","frac_crossed"
1,1,10,0.01
2,5,3,0.003
3,9,4,0.004
5,17,1,0.001
6,21,3,0.003
7,25,2,0.002
8,29,3,0.003
10,37,2,0.002
12,45,1,0.001
18,69,1,0.001
19,73,2,0.002
20,77,2,0.002
22,85,3,0.003
23,89,2,0.002
27,105,2,0.002
29,113,1,0.001
30,117,1,0.001
32,125,2,0.002
33,129,1,0.001
34,133,3,0.003
35,137,3,0.003
36,141,1,0.001
38,149,12,0.012
39,153,6,0.006
40,157,8,0.008
43,169,6,0.006
45,177,3,0.003
46,181,3,0.003
47,185,5,0.005
48,189,18,0.018
49,193,21,0.021
50,197,7,0.007
51,201,10,0.01
52,205,2,0.002
53,209,8,0.008
54,213,4,0.004
55,217,4,0.004
56,221,4,0.004
57,225,2,0.002
58,229,6,0.006
59,233,3,0.003
60,237,2,0.002
61,241,2,0.002
62,245,8,0.008
63,249,8,0.008
64,253,13,0.013
65,257,7,0.007
66,261,8,0.008
67,265,11,0.011
68,269,7,0.007
69,273,5,0.005
70,277,4,0.004
71,281,12,0.012
72,285,13,0.013
73,289,8,0.008
74,293,9,0.009
75,297,15,0.015
76,301,73,0.073
77,305,12,0.012
78,309,12,0.012
79,313,16,0.016
80,317,27,0.027
81,321,20,0.02
82,325,13,0.013
83,329,15,0.015
84,333,5,0.005
85,337,5,0.005
86,341,7,0.007
87,345,10,0.01
88,349,13,0.013
89,353,19,0.019
90,357,15,0.015
91,361,7,0.007
92,365,9,0.009
93,369,14,0.014
94,373,17,0.017
95,377,55,0.055
96,381,57,0.057
97,385,129,0.129
98,389,1000,1
99,393,1000,1
100,397,1000,1
101,401,1000,1
102,405,1000,1
103,409,1000,1
104,413,1000,1
105,417,1000,1
106,421,1000,1
107,425,1000,1
108,429,1000,1
109,433,1000,1
110,437,1000,1
111,441,1000,1
112,445,1000,1
113,449,1000,1
114,453,1000,1
115,457,1000,1
116,461,1000,1
117,465,1000,1
118,469,1000,1
119,473,1000,1
120,477,1000,1
121,481,1000,1
122,485,1000,1
123,489,1000,1
124,493,1000,1
125,497,1000,1
126,501,1000,1
127,505,1000,1
128,509,1000,1
129,513,1000,1
130,517,1000,1
131,521,1000,1
132,525,1000,1
133,529,1000,1
134,533,1000,1
135,537,1000,1
136,541,1000,1
137,545,1000,1
138,549,1000,1
139,553,1000,1
140,557,1000,1
141,561,1000,1
142,565,1000,1
143,569,1000,1
144,573,1000,1
145,577,1000,1
146,581,1000,1
147,585,1000,1
148,589,1000,1
149,593,1000,1
150,597,1000,1
151,601,1000,1
152,605,1000,1
153,609,1000,1
154,613,1000,1
155,617,1000,1
156,621,1000,1
157,625,1000,1
158,629,1000,1
159,633,1000,1
160,637,1000,1
161,641,1000,1
162,645,1000,1
163,649,1000,1
164,653,1000,1
165,657,1000,1
166,661,1000,1
167,665,1000,1
168,669,1000,1
169,673,1000,1
170,677,1000,1
171,681,1000,1
172,685,1000,1
173,689,1000,1
174,693,1000,1
175,697,1000,1
176,701,1000,1
177,705,1000,1
178,709,1000,1
179,713,1000,1
180,717,1000,1
181,721,1000,1
182,725,1000,1
183,729,1000,1
184,733,1000,1
185,737,1000,1
186,741,1000,1
187,745,1000,1
188,749,1000,1
189,753,1000,1
190,757,1000,1
191,761,1000,1
192,765,1000,1
