"slurm_task_id","replay_gen","count","frac_crossed"
1,1,214,0.214
2,5,174,0.174
3,9,198,0.198
4,13,181,0.181
5,17,151,0.151
6,21,248,0.248
7,25,227,0.227
8,29,235,0.235
9,33,234,0.234
10,37,252,0.252
11,41,227,0.227
12,45,220,0.22
13,49,235,0.235
14,53,245,0.245
15,57,233,0.233
16,61,205,0.205
17,65,226,0.226
18,69,219,0.219
19,73,229,0.229
20,77,223,0.223
21,81,214,0.214
22,85,187,0.187
23,89,377,0.377
24,93,355,0.355
25,97,394,0.394
26,101,371,0.371
27,105,362,0.362
28,109,366,0.366
29,113,389,0.389
30,117,357,0.357
31,121,333,0.333
32,125,400,0.4
33,129,438,0.438
34,133,372,0.372
35,137,373,0.373
36,141,159,0.159
37,145,372,0.372
38,149,354,0.354
39,153,313,0.313
40,157,353,0.353
41,161,328,0.328
42,165,366,0.366
43,169,310,0.31
44,173,346,0.346
45,177,346,0.346
46,181,352,0.352
47,185,328,0.328
48,189,340,0.34
49,193,333,0.333
50,197,385,0.385
51,201,305,0.305
52,205,328,0.328
53,209,323,0.323
54,213,326,0.326
55,217,314,0.314
56,221,319,0.319
57,225,304,0.304
58,229,336,0.336
59,233,574,0.574
60,237,577,0.577
61,241,565,0.565
62,245,622,0.622
63,249,579,0.579
64,253,591,0.591
65,257,562,0.562
66,261,607,0.607
67,265,580,0.58
68,269,588,0.588
69,273,606,0.606
70,277,876,0.876
71,281,887,0.887
72,285,919,0.919
73,289,964,0.964
74,293,979,0.979
75,297,992,0.992
76,301,996,0.996
77,305,992,0.992
78,309,999,0.999
79,313,1000,1
80,317,1000,1
81,321,1000,1
82,325,1000,1
83,329,1000,1
84,333,1000,1
85,337,1000,1
86,341,1000,1
87,345,1000,1
88,349,1000,1
89,353,1000,1
90,357,1000,1
91,361,1000,1
92,365,1000,1
93,369,1000,1
94,373,1000,1
95,377,1000,1
96,381,1000,1
97,385,1000,1
98,389,1000,1
99,393,1000,1
100,397,1000,1
101,401,1000,1
102,405,1000,1
103,409,1000,1
104,413,1000,1
105,417,1000,1
106,421,1000,1
107,425,1000,1
108,429,1000,1
109,433,1000,1
110,437,1000,1
111,441,1000,1
112,445,1000,1
113,449,1000,1
114,453,1000,1
115,457,1000,1
116,461,1000,1
117,465,1000,1
118,469,1000,1
119,473,1000,1
120,477,1000,1
121,481,1000,1
122,485,1000,1
123,489,1000,1
124,493,1000,1
125,497,1000,1
126,501,1000,1
127,505,1000,1
128,509,1000,1
129,513,1000,1
130,517,1000,1
131,521,1000,1
132,525,1000,1
133,529,1000,1
134,533,1000,1
135,537,1000,1
136,541,1000,1
137,545,1000,1
138,549,1000,1
139,553,1000,1
140,557,1000,1
141,561,1000,1
142,565,1000,1
143,569,1000,1
144,573,1000,1
145,577,1000,1
146,581,1000,1
147,585,1000,1
148,589,1000,1
149,593,1000,1
150,597,1000,1
151,601,1000,1
152,605,1000,1
153,609,1000,1
154,613,1000,1
155,617,1000,1
156,621,1000,1
157,625,1000,1
158,629,1000,1
159,633,1000,1
160,637,1000,1
161,641,1000,1
162,645,1000,1
163,649,1000,1
164,653,1000,1
165,657,1000,1
166,661,1000,1
167,665,1000,1
168,669,1000,1
169,673,1000,1
170,677,1000,1
171,681,1000,1
172,685,1000,1
173,689,1000,1
174,693,1000,1
175,697,1000,1
176,701,1000,1
177,705,1000,1
178,709,1000,1
179,713,1000,1
180,717,1000,1
181,721,1000,1
182,725,1000,1
183,729,1000,1
184,733,1000,1
185,737,1000,1
186,741,1000,1
187,745,1000,1
188,749,1000,1
189,753,1000,1
190,757,1000,1
191,761,1000,1
192,765,1000,1
