update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,7,12,0,None,None,None,None,504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,12,5,None,None,None,None,495,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,12,11,None,None,None,None,486,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,12,6,None,None,None,None,488,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,12,9,None,None,None,None,483,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,12,5,None,None,None,None,482,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,12,5,None,None,None,None,479,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,12,5,None,None,None,None,475,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
9,15,12,5,None,None,None,None,473,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,12,6,None,None,None,None,469,21,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17,12,3,None,None,None,None,469,22,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,12,1,None,None,None,None,461,31,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18,12,4,None,None,None,None,453,36,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
14,19,12,4,None,None,None,None,447,40,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20,12,5,None,None,None,None,449,36,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
16,21,12,1,None,None,None,None,453,35,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
17,22,12,3,None,None,None,None,454,30,2,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
18,23,12,6,None,None,None,None,452,27,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
19,24,13,1,None,None,None,None,451,32,3,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0
20,24,13,6,None,None,None,None,436,40,5,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0
21,25,13,3,None,None,None,None,431,47,5,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0
22,25,13,0,None,None,None,None,433,48,5,0,0,1,23,2,0,0,0,0,0,0,0,0,0,0,0,0
23,26,13,4,None,None,None,None,428,45,8,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0
24,27,13,5,None,None,None,None,430,43,6,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0
25,27,13,3,None,None,None,None,429,43,9,0,0,1,21,6,0,0,0,0,0,0,0,0,0,0,0,0
26,28,13,3,None,None,None,None,427,44,9,0,0,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0
27,29,13,3,None,None,None,None,426,44,9,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0
28,30,13,4,None,None,None,None,425,45,7,0,0,0,22,9,0,0,0,0,0,0,0,0,0,0,0,0
29,31,13,3,None,None,None,None,423,47,8,0,0,2,17,12,0,0,0,0,0,0,0,0,0,0,0,0
30,32,13,5,None,None,None,None,415,51,8,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
31,33,13,1,None,None,None,None,423,50,5,0,0,0,18,14,1,0,0,0,0,0,0,0,0,0,0,0
32,34,13,1,None,None,None,None,418,55,3,0,0,0,19,14,2,0,0,0,0,0,0,0,0,0,0,0
33,35,13,6,None,None,None,None,414,54,2,0,0,0,20,13,3,0,0,0,0,0,0,0,0,0,0,0
34,36,13,2,None,None,None,None,417,54,2,0,0,0,20,13,4,0,0,0,0,0,0,0,0,0,0,0
35,37,13,4,None,None,None,None,412,57,2,0,0,0,21,11,5,0,0,0,0,0,0,0,0,0,0,0
36,38,13,3,None,None,None,None,409,60,1,0,0,0,19,15,5,0,0,0,0,0,0,0,0,0,0,0
37,39,13,7,None,None,None,None,402,62,1,0,0,0,20,16,4,0,0,0,0,0,0,0,0,0,0,0
38,40,13,4,None,None,None,None,391,76,0,0,0,0,21,16,4,0,0,0,0,0,0,0,0,0,0,0
39,41,13,3,None,None,None,None,392,74,1,0,0,0,21,17,4,0,0,0,0,0,0,0,0,0,0,0
40,42,13,0,None,None,None,None,385,84,0,0,0,1,21,17,4,0,0,0,0,0,0,0,0,0,0,0
41,43,13,5,None,None,None,None,382,81,0,0,0,0,18,22,4,0,0,0,0,0,0,0,0,0,0,0
42,44,13,4,None,None,None,None,388,74,1,0,0,0,19,21,5,0,0,0,0,0,0,0,0,0,0,0
43,44,13,2,None,None,None,None,387,78,0,0,0,1,19,20,5,0,0,0,0,0,0,0,0,0,0,0
44,45,13,0,None,None,None,None,393,73,0,0,0,0,21,22,3,0,0,0,0,0,0,0,0,0,0,0
45,46,13,1,None,None,None,None,387,76,1,0,0,0,23,20,4,0,0,0,0,0,0,0,0,0,0,0
46,47,13,4,None,None,None,None,388,70,3,0,0,0,24,19,4,0,0,0,0,0,0,0,0,0,0,0
47,47,13,5,None,None,None,None,381,75,3,0,0,0,24,21,3,0,0,0,0,0,0,0,0,0,0,0
48,46,13,5,None,None,None,None,377,81,2,0,0,0,24,20,3,0,0,0,0,0,0,0,0,0,0,0
49,47,13,4,None,None,None,None,375,81,4,0,0,0,23,21,4,0,0,0,0,0,0,0,0,0,0,0
50,48,13,3,None,None,None,None,378,80,2,0,0,0,23,24,2,0,0,0,0,0,0,0,0,0,0,0
51,49,13,5,None,None,None,None,373,81,3,0,0,0,22,26,2,0,0,0,0,0,0,0,0,0,0,0
52,50,13,2,None,None,None,None,376,79,4,0,0,0,25,25,1,0,0,0,0,0,0,0,0,0,0,0
53,51,13,5,None,None,None,None,364,87,4,0,0,0,26,25,1,0,0,0,0,0,0,0,0,0,0,0
54,50,13,2,None,None,None,None,366,90,3,0,0,1,26,24,0,0,0,0,0,0,0,0,0,0,0,0
55,51,13,2,None,None,None,None,369,86,3,0,0,0,27,24,1,0,0,0,0,0,0,0,0,0,0,0
56,52,13,3,None,None,None,None,370,82,4,0,0,0,26,24,3,0,0,0,0,0,0,0,0,0,0,0
57,53,13,3,None,None,None,None,369,83,3,0,0,0,24,26,4,0,0,0,0,0,0,0,0,0,0,0
58,54,13,2,None,None,None,None,371,79,5,0,0,0,25,25,5,0,0,0,0,0,0,0,0,0,0,0
59,55,13,1,None,None,None,None,370,81,4,0,0,1,25,25,5,0,0,0,0,0,0,0,0,0,0,0
60,56,13,3,None,None,None,None,373,77,2,0,0,1,25,25,6,0,0,0,0,0,0,0,0,0,0,0
61,57,13,1,None,None,None,None,367,84,2,0,0,1,25,26,5,1,0,0,0,0,0,0,0,0,0,0
62,58,13,4,None,None,None,None,366,81,2,0,0,1,26,24,8,0,0,0,0,0,0,0,0,0,0,0
63,59,13,1,None,None,None,None,371,79,1,0,0,1,27,26,6,0,0,0,0,0,0,0,0,0,0,0
64,60,13,3,None,None,None,None,375,72,1,0,0,1,25,28,7,0,0,0,0,0,0,0,0,0,0,0
65,61,13,3,None,None,None,None,380,66,1,0,0,0,25,31,6,0,0,0,0,0,0,0,0,0,0,0
66,61,13,5,None,None,None,None,379,64,2,0,0,0,27,27,8,0,0,0,0,0,0,0,0,0,0,0
67,62,13,3,None,None,None,None,379,63,4,0,0,0,29,26,8,0,0,0,0,0,0,0,0,0,0,0
68,62,13,3,None,None,None,None,380,62,4,0,0,0,30,24,9,0,0,0,0,0,0,0,0,0,0,0
69,63,13,6,None,None,None,None,375,66,1,0,0,1,31,25,7,0,0,0,0,0,0,0,0,0,0,0
70,63,13,7,None,None,None,None,376,65,0,0,0,1,32,25,6,0,0,0,0,0,0,0,0,0,0,0
71,64,13,2,None,None,None,None,377,68,0,0,0,0,33,27,5,0,0,0,0,0,0,0,0,0,0,0
72,65,13,3,None,None,None,None,378,64,1,0,0,0,33,28,5,0,0,0,0,0,0,0,0,0,0,0
73,66,13,4,None,None,None,None,383,56,2,0,0,0,32,27,8,0,0,0,0,0,0,0,0,0,0,0
