"leading_edge_index","leading_edge_val","count","crossed_frac"
0,12,1735,0.1735
0,13,2560,0.256
0,14,4081,0.4081
0,15,6454,0.6454
0,16,8883,0.8883
0,17,9467,0.9467
8,12,1731,0.1731
8,13,2365,0.2365
8,14,3546,0.3546
8,15,5103,0.5103
8,16,6371,0.6371
8,17,6443,0.6443
16,12,1640,0.164
16,13,2326,0.2326
16,14,3491,0.3491
16,15,5191,0.5191
16,16,6404,0.6404
16,17,6512,0.6512
24,12,1640,0.164
24,13,2314,0.2314
24,14,3377,0.3377
24,15,5151,0.5151
24,16,6416,0.6416
24,17,6552,0.6552
32,12,1643,0.1643
32,13,2191,0.2191
32,14,3491,0.3491
32,15,5090,0.509
32,16,6357,0.6357
32,17,6515,0.6515
40,12,1579,0.1579
40,13,2177,0.2177
40,14,3436,0.3436
40,15,5052,0.5052
40,16,6280,0.628
40,17,6572,0.6572
48,12,1564,0.1564
48,13,2195,0.2195
48,14,3304,0.3304
48,15,5115,0.5115
48,16,6304,0.6304
48,17,6451,0.6451
56,12,1517,0.1517
56,13,2076,0.2076
56,14,3344,0.3344
56,15,4964,0.4964
56,16,6371,0.6371
56,17,6388,0.6388
64,12,1427,0.1427
64,13,2127,0.2127
64,14,3299,0.3299
64,15,4887,0.4887
64,16,6267,0.6267
64,17,6452,0.6452
72,12,1398,0.1398
72,13,1990,0.199
72,14,3225,0.3225
72,15,4806,0.4806
72,16,6231,0.6231
72,17,6491,0.6491
80,12,1394,0.1394
80,13,1972,0.1972
80,14,3240,0.324
80,15,4882,0.4882
80,16,6270,0.627
80,17,6483,0.6483
88,12,1333,0.1333
88,13,1927,0.1927
88,14,3178,0.3178
88,15,4764,0.4764
88,16,6258,0.6258
88,17,6429,0.6429
96,12,1243,0.1243
96,13,1843,0.1843
96,14,3156,0.3156
96,15,4685,0.4685
96,16,6189,0.6189
96,17,6383,0.6383
104,12,1226,0.1226
104,13,1878,0.1878
104,14,3050,0.305
104,15,4726,0.4726
104,16,6144,0.6144
104,17,6294,0.6294
112,12,1198,0.1198
112,13,1764,0.1764
112,14,2967,0.2967
112,15,4740,0.474
112,16,6217,0.6217
112,17,6380,0.638
120,12,1117,0.1117
120,13,1766,0.1766
120,14,2982,0.2982
120,15,4720,0.472
120,16,6116,0.6116
120,17,6284,0.6284
128,12,1057,0.1057
128,13,1679,0.1679
128,14,2989,0.2989
128,15,4638,0.4638
128,16,6117,0.6117
128,17,6205,0.6205
136,12,1061,0.1061
136,13,1654,0.1654
136,14,2862,0.2862
136,15,4552,0.4552
136,16,6043,0.6043
136,17,6267,0.6267
144,12,1004,0.1004
144,13,1592,0.1592
144,14,2830,0.283
144,15,4589,0.4589
144,16,6043,0.6043
144,17,6268,0.6268
152,12,932,0.0932
152,13,1537,0.1537
152,14,2803,0.2803
152,15,4527,0.4527
152,16,6031,0.6031
152,17,6219,0.6219
160,12,860,0.086
160,13,1543,0.1543
160,14,2798,0.2798
160,15,4472,0.4472
160,16,6042,0.6042
160,17,6247,0.6247
168,12,892,0.0892
168,13,1448,0.1448
168,14,2648,0.2648
168,15,4373,0.4373
168,16,5990,0.599
168,17,6279,0.6279
176,12,792,0.0792
176,13,1461,0.1461
176,14,2654,0.2654
176,15,4422,0.4422
176,16,5996,0.5996
176,17,6204,0.6204
184,12,792,0.0792
184,13,1404,0.1404
184,14,2554,0.2554
184,15,4354,0.4354
184,16,5989,0.5989
184,17,6219,0.6219
192,12,769,0.0769
192,13,1363,0.1363
192,14,2575,0.2575
192,15,4347,0.4347
192,16,5885,0.5885
192,17,6234,0.6234
200,12,678,0.0678
200,13,1264,0.1264
200,14,2486,0.2486
200,15,4280,0.428
200,16,5915,0.5915
200,17,6152,0.6152
208,12,683,0.0683
208,13,1209,0.1209
208,14,2456,0.2456
208,15,4292,0.4292
208,16,5879,0.5879
208,17,6052,0.6052
216,12,602,0.0602
216,13,1142,0.1142
216,14,2356,0.2356
216,15,4151,0.4151
216,16,5893,0.5893
216,17,6089,0.6089
224,12,623,0.0623
224,13,1150,0.115
224,14,2308,0.2308
224,15,4217,0.4217
224,16,5762,0.5762
224,17,6069,0.6069
232,12,564,0.0564
232,13,1060,0.106
232,14,2229,0.2229
232,15,4079,0.4079
232,16,5837,0.5837
232,17,6023,0.6023
240,12,510,0.051
240,13,973,0.0973
240,14,2189,0.2189
240,15,4040,0.404
240,16,5697,0.5697
240,17,5977,0.5977
248,12,468,0.0468
248,13,1000,0.1
248,14,2142,0.2142
248,15,3871,0.3871
248,16,5743,0.5743
248,17,5982,0.5982
256,12,456,0.0456
256,13,968,0.0968
256,14,2077,0.2077
256,15,3959,0.3959
256,16,5738,0.5738
256,17,6017,0.6017
264,12,433,0.0433
264,13,873,0.0873
264,14,2000,0.2
264,15,3841,0.3841
264,16,5692,0.5692
264,17,6095,0.6095
272,12,361,0.0361
272,13,903,0.0903
272,14,1932,0.1932
272,15,3803,0.3803
272,16,5615,0.5615
272,17,5957,0.5957
280,12,377,0.0377
280,13,780,0.078
280,14,1879,0.1879
280,15,3726,0.3726
280,16,5653,0.5653
280,17,5927,0.5927
288,12,344,0.0344
288,13,742,0.0742
288,14,1778,0.1778
288,15,3713,0.3713
288,16,5666,0.5666
288,17,5957,0.5957
296,12,311,0.0311
296,13,709,0.0709
296,14,1705,0.1705
296,15,3587,0.3587
296,16,5558,0.5558
296,17,5953,0.5953
304,12,274,0.0274
304,13,659,0.0659
304,14,1633,0.1633
304,15,3631,0.3631
304,16,5530,0.553
304,17,5884,0.5884
312,12,247,0.0247
312,13,583,0.0583
312,14,1613,0.1613
312,15,3510,0.351
312,16,5479,0.5479
312,17,5982,0.5982
