"slurm_task_id","replay_gen","count","frac_crossed"
3,9,1,0.001
8,29,1,0.001
24,93,1,0.001
39,153,1,0.001
59,233,1,0.001
117,465,25,0.025
118,469,30,0.03
119,473,24,0.024
120,477,20,0.02
121,481,21,0.021
122,485,13,0.013
123,489,23,0.023
124,493,25,0.025
125,497,20,0.02
126,501,23,0.023
127,505,11,0.011
128,509,24,0.024
129,513,20,0.02
130,517,10,0.01
131,521,11,0.011
132,525,16,0.016
133,529,12,0.012
134,533,12,0.012
135,537,15,0.015
136,541,9,0.009
137,545,9,0.009
138,549,9,0.009
139,553,8,0.008
140,557,9,0.009
141,561,5,0.005
142,565,4,0.004
143,569,8,0.008
144,573,4,0.004
145,577,6,0.006
146,581,2,0.002
147,585,5,0.005
148,589,4,0.004
149,593,3,0.003
150,597,2,0.002
151,601,3,0.003
152,605,2,0.002
153,609,19,0.019
154,613,11,0.011
155,617,9,0.009
156,621,6,0.006
157,625,10,0.01
158,629,12,0.012
159,633,8,0.008
160,637,20,0.02
161,641,9,0.009
162,645,4,0.004
163,649,4,0.004
164,653,3,0.003
165,657,4,0.004
166,661,5,0.005
167,665,4,0.004
168,669,5,0.005
170,677,1,0.001
171,681,1,0.001
172,685,11,0.011
173,689,10,0.01
174,693,7,0.007
175,697,9,0.009
176,701,5,0.005
177,705,8,0.008
178,709,7,0.007
179,713,2,0.002
180,717,2,0.002
181,721,5,0.005
182,725,3,0.003
183,729,1,0.001
184,733,3,0.003
187,745,2,0.002
188,749,4,0.004
190,757,1,0.001
191,761,1,0.001
192,765,13,0.013
