"slurm_task_id","replay_gen","count","frac_crossed"
2,2,4,4e-04
3,3,2,2e-04
4,4,1,1e-04
5,5,1,1e-04
7,7,2,2e-04
9,9,1,1e-04
10,10,1,1e-04
11,11,1,1e-04
12,12,1,1e-04
14,14,3,3e-04
15,15,1,1e-04
16,16,1,1e-04
18,18,2,2e-04
20,20,1,1e-04
22,22,1,1e-04
23,23,1,1e-04
24,24,1,1e-04
26,26,1,1e-04
28,28,1,1e-04
30,30,2,2e-04
33,33,2,2e-04
36,36,1,1e-04
37,37,1,1e-04
38,38,2,2e-04
39,39,1,1e-04
40,40,1,1e-04
42,42,1,1e-04
43,43,1,1e-04
44,44,1,1e-04
46,46,2,2e-04
52,52,2,2e-04
54,54,1,1e-04
55,55,1,1e-04
58,58,1,1e-04
60,60,1,1e-04
62,62,1,1e-04
63,63,2,2e-04
64,64,1,1e-04
65,65,1,1e-04
66,66,1,1e-04
67,67,2,2e-04
71,71,1,1e-04
72,72,1,1e-04
73,73,2,2e-04
76,76,1,1e-04
78,78,3,3e-04
80,80,1,1e-04
81,81,2,2e-04
82,82,1,1e-04
84,84,1,1e-04
85,85,1,1e-04
86,86,1,1e-04
88,88,1,1e-04
90,90,2,2e-04
91,91,1,1e-04
92,92,1,1e-04
93,93,1,1e-04
94,94,2,2e-04
95,95,2,2e-04
96,96,1,1e-04
97,97,1,1e-04
98,98,1,1e-04
99,99,1,1e-04
100,100,1,1e-04
102,102,3,3e-04
103,103,1,1e-04
106,106,2,2e-04
110,110,1,1e-04
112,112,1,1e-04
114,114,1,1e-04
118,118,1,1e-04
123,123,3,3e-04
125,125,1,1e-04
128,128,1,1e-04
129,129,2,2e-04
131,131,1,1e-04
132,132,1,1e-04
133,133,1,1e-04
138,138,1,1e-04
139,139,2,2e-04
140,140,1,1e-04
141,141,1,1e-04
142,142,2,2e-04
143,143,1,1e-04
145,145,1,1e-04
147,147,1,1e-04
148,148,1,1e-04
151,151,1,1e-04
152,152,1,1e-04
155,155,3,3e-04
159,159,1,1e-04
161,161,1,1e-04
164,164,1,1e-04
168,168,1,1e-04
170,170,2,2e-04
171,171,1,1e-04
173,173,2,2e-04
175,175,1,1e-04
177,177,1,1e-04
182,182,3,3e-04
185,185,3,3e-04
186,186,1,1e-04
188,188,1,1e-04
191,191,1,1e-04
192,192,1,1e-04
193,193,1,1e-04
194,194,2,2e-04
195,195,1,1e-04
198,198,1,1e-04
200,200,1,1e-04
201,201,2,2e-04
