update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,511,12,0,None,None,None,None,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0
2,511,12,0,None,None,None,None,0,0,0,0,0,2,508,2,0,0,0,0,0,0,0,0,0,0,0,0
3,511,12,0,None,None,None,None,0,0,0,0,0,4,502,6,0,0,0,0,0,0,0,0,0,0,0,0
4,511,12,0,None,None,None,None,0,0,0,0,0,9,495,8,0,0,0,0,0,0,0,0,0,0,0,0
5,511,12,0,None,None,None,None,0,0,0,0,0,4,497,11,0,0,0,0,0,0,0,0,0,0,0,0
6,511,12,0,None,None,None,None,0,0,0,0,0,6,495,10,1,0,0,0,0,0,0,0,0,0,0,0
7,511,12,0,None,None,None,None,0,0,0,0,0,3,490,18,1,0,0,0,0,0,0,0,0,0,0,0
8,511,12,0,None,None,None,None,0,0,0,0,0,2,484,25,1,0,0,0,0,0,0,0,0,0,0,0
9,511,12,0,None,None,None,None,0,0,0,0,0,4,480,27,1,0,0,0,0,0,0,0,0,0,0,0
10,511,12,0,None,None,None,None,0,0,0,0,0,1,477,31,3,0,0,0,0,0,0,0,0,0,0,0
11,511,12,0,None,None,None,None,0,0,0,0,0,2,478,28,4,0,0,0,0,0,0,0,0,0,0,0
12,511,12,0,None,None,None,None,0,0,0,0,0,1,483,27,0,1,0,0,0,0,0,0,0,0,0,0
13,511,12,0,None,None,None,None,0,0,0,0,0,2,482,27,0,1,0,0,0,0,0,0,0,0,0,0
14,511,12,0,None,None,None,None,0,0,0,0,0,3,482,26,0,1,0,0,0,0,0,0,0,0,0,0
15,511,12,0,None,None,None,None,0,0,0,0,0,5,470,35,0,2,0,0,0,0,0,0,0,0,0,0
16,511,12,0,None,None,None,None,0,0,0,0,0,3,469,37,1,2,0,0,0,0,0,0,0,0,0,0
17,511,12,0,None,None,None,None,0,0,0,0,0,2,462,48,0,0,0,0,0,0,0,0,0,0,0,0
18,511,12,0,None,None,None,None,0,0,0,0,0,1,460,51,0,0,0,0,0,0,0,0,0,0,0,0
19,511,12,0,None,None,None,None,0,0,0,0,0,4,454,54,0,0,0,0,0,0,0,0,0,0,0,0
20,511,12,0,None,None,None,None,0,0,0,0,0,2,452,58,0,0,0,0,0,0,0,0,0,0,0,0
21,511,12,0,None,None,None,None,0,0,0,0,0,7,458,47,0,0,0,0,0,0,0,0,0,0,0,0
22,511,12,0,None,None,None,None,0,0,0,0,0,3,463,46,0,0,0,0,0,0,0,0,0,0,0,0
23,511,12,0,None,None,None,None,0,0,0,0,0,6,456,50,0,0,0,0,0,0,0,0,0,0,0,0
24,511,12,0,None,None,None,None,0,0,0,0,0,1,463,48,0,0,0,0,0,0,0,0,0,0,0,0
25,511,12,0,None,None,None,None,0,0,0,0,0,1,462,48,1,0,0,0,0,0,0,0,0,0,0,0
26,511,12,0,None,None,None,None,0,0,0,0,0,3,461,48,0,0,0,0,0,0,0,0,0,0,0,0
27,511,13,0,None,None,None,None,0,0,0,0,0,1,466,45,0,0,0,0,0,0,0,0,0,0,0,0
28,511,13,0,None,None,None,None,0,0,0,0,0,3,464,45,0,0,0,0,0,0,0,0,0,0,0,0
29,511,13,0,None,None,None,None,0,0,0,0,0,5,462,45,0,0,0,0,0,0,0,0,0,0,0,0
30,511,13,0,None,None,None,None,0,0,0,0,0,3,464,45,0,0,0,0,0,0,0,0,0,0,0,0
31,511,13,0,None,None,None,None,0,0,0,0,0,4,463,45,0,0,0,0,0,0,0,0,0,0,0,0
32,511,13,0,None,None,None,None,0,0,0,0,0,3,465,44,0,0,0,0,0,0,0,0,0,0,0,0
33,511,13,0,None,None,None,None,0,0,0,0,0,2,469,41,0,0,0,0,0,0,0,0,0,0,0,0
34,511,12,0,None,None,None,None,0,0,0,0,0,2,468,42,0,0,0,0,0,0,0,0,0,0,0,0
35,511,12,0,None,None,None,None,0,0,0,0,0,4,466,41,1,0,0,0,0,0,0,0,0,0,0,0
36,511,12,0,None,None,None,None,0,0,0,0,0,3,466,42,1,0,0,0,0,0,0,0,0,0,0,0
37,511,12,0,None,None,None,None,0,0,0,0,0,1,460,49,2,0,0,0,0,0,0,0,0,0,0,0
38,511,12,0,None,None,None,None,0,0,0,0,0,2,456,52,2,0,0,0,0,0,0,0,0,0,0,0
39,511,12,0,None,None,None,None,0,0,0,0,0,4,454,51,3,0,0,0,0,0,0,0,0,0,0,0
40,511,12,0,None,None,None,None,0,0,0,0,0,6,452,51,3,0,0,0,0,0,0,0,0,0,0,0
41,511,12,0,None,None,None,None,0,0,0,0,0,2,456,51,3,0,0,0,0,0,0,0,0,0,0,0
42,511,12,0,None,None,None,None,0,0,0,0,0,2,449,57,4,0,0,0,0,0,0,0,0,0,0,0
43,511,12,0,None,None,None,None,0,0,0,0,0,1,452,56,3,0,0,0,0,0,0,0,0,0,0,0
44,511,12,0,None,None,None,None,0,0,0,0,0,1,456,52,3,0,0,0,0,0,0,0,0,0,0,0
45,511,12,0,None,None,None,None,0,0,0,0,0,4,460,46,2,0,0,0,0,0,0,0,0,0,0,0
46,511,12,0,None,None,None,None,0,0,0,0,0,4,457,48,3,0,0,0,0,0,0,0,0,0,0,0
47,511,12,0,None,None,None,None,0,0,0,0,0,5,458,48,1,0,0,0,0,0,0,0,0,0,0,0
48,511,12,0,None,None,None,None,0,0,0,0,0,3,460,49,0,0,0,0,0,0,0,0,0,0,0,0
49,511,12,0,None,None,None,None,0,0,0,0,0,2,462,48,0,0,0,0,0,0,0,0,0,0,0,0
50,511,12,0,None,None,None,None,0,0,0,0,0,4,463,45,0,0,0,0,0,0,0,0,0,0,0,0
51,511,12,0,None,None,None,None,0,0,0,0,0,4,463,45,0,0,0,0,0,0,0,0,0,0,0,0
52,511,12,0,None,None,None,None,0,0,0,0,0,6,458,48,0,0,0,0,0,0,0,0,0,0,0,0
53,511,12,0,None,None,None,None,0,0,0,0,0,3,457,51,1,0,0,0,0,0,0,0,0,0,0,0
54,511,12,0,None,None,None,None,0,0,0,0,0,8,447,57,0,0,0,0,0,0,0,0,0,0,0,0
55,511,12,0,None,None,None,None,0,0,0,0,0,1,453,57,1,0,0,0,0,0,0,0,0,0,0,0
56,511,12,0,None,None,None,None,0,0,0,0,0,1,455,56,0,0,0,0,0,0,0,0,0,0,0,0
57,511,12,0,None,None,None,None,0,0,0,0,0,3,451,58,0,0,0,0,0,0,0,0,0,0,0,0
58,511,12,0,None,None,None,None,0,0,0,0,0,2,451,58,1,0,0,0,0,0,0,0,0,0,0,0
59,511,12,0,None,None,None,None,0,0,0,0,0,1,448,62,1,0,0,0,0,0,0,0,0,0,0,0
60,511,12,0,None,None,None,None,0,0,0,0,0,5,445,61,1,0,0,0,0,0,0,0,0,0,0,0
61,511,12,0,None,None,None,None,0,0,0,0,0,7,446,59,0,0,0,0,0,0,0,0,0,0,0,0
62,511,13,0,None,None,None,None,0,0,0,0,0,4,455,52,1,0,0,0,0,0,0,0,0,0,0,0
63,511,12,0,None,None,None,None,0,0,0,0,0,4,453,54,1,0,0,0,0,0,0,0,0,0,0,0
64,511,12,0,None,None,None,None,0,0,0,0,0,3,450,57,2,0,0,0,0,0,0,0,0,0,0,0
65,511,12,0,None,None,None,None,0,0,0,0,0,2,455,52,3,0,0,0,0,0,0,0,0,0,0,0
66,511,12,0,None,None,None,None,0,0,0,0,0,4,448,55,5,0,0,0,0,0,0,0,0,0,0,0
67,511,12,0,None,None,None,None,0,0,0,0,0,2,448,55,7,0,0,0,0,0,0,0,0,0,0,0
68,511,12,0,None,None,None,None,0,0,0,0,0,6,447,53,6,0,0,0,0,0,0,0,0,0,0,0
69,511,12,0,None,None,None,None,0,0,0,0,0,1,445,60,6,0,0,0,0,0,0,0,0,0,0,0
70,511,12,0,None,None,None,None,0,0,0,0,0,5,446,56,5,0,0,0,0,0,0,0,0,0,0,0
71,511,12,0,None,None,None,None,0,0,0,0,0,5,443,59,5,0,0,0,0,0,0,0,0,0,0,0
72,511,12,0,None,None,None,None,0,0,0,0,0,3,443,60,6,0,0,0,0,0,0,0,0,0,0,0
73,511,12,0,None,None,None,None,0,0,0,0,0,5,440,60,7,0,0,0,0,0,0,0,0,0,0,0
74,511,12,0,None,None,None,None,0,0,0,0,0,2,442,60,8,0,0,0,0,0,0,0,0,0,0,0
75,511,12,0,None,None,None,None,0,0,0,0,0,1,440,66,5,0,0,0,0,0,0,0,0,0,0,0
76,511,12,0,None,None,None,None,0,0,0,0,0,7,430,69,6,0,0,0,0,0,0,0,0,0,0,0
77,511,12,0,None,None,None,None,0,0,0,0,0,2,438,66,6,0,0,0,0,0,0,0,0,0,0,0
78,511,12,0,None,None,None,None,0,0,0,0,0,1,437,69,5,0,0,0,0,0,0,0,0,0,0,0
79,511,12,0,None,None,None,None,0,0,0,0,0,5,433,70,3,1,0,0,0,0,0,0,0,0,0,0
80,511,12,0,None,None,None,None,0,0,0,0,0,3,432,76,0,1,0,0,0,0,0,0,0,0,0,0
81,511,12,0,None,None,None,None,0,0,0,0,0,1,427,83,0,1,0,0,0,0,0,0,0,0,0,0
82,511,12,0,None,None,None,None,0,0,0,0,0,3,421,86,2,0,0,0,0,0,0,0,0,0,0,0
83,511,12,0,None,None,None,None,0,0,0,0,0,2,422,87,1,0,0,0,0,0,0,0,0,0,0,0
84,511,12,0,None,None,None,None,0,0,0,0,0,1,434,77,0,0,0,0,0,0,0,0,0,0,0,0
85,511,12,0,None,None,None,None,0,0,0,0,0,1,433,78,0,0,0,0,0,0,0,0,0,0,0,0
86,511,13,0,None,None,None,None,0,0,0,0,0,4,424,84,0,0,0,0,0,0,0,0,0,0,0,0
87,511,13,0,None,None,None,None,0,0,0,0,0,3,423,85,1,0,0,0,0,0,0,0,0,0,0,0
88,511,13,0,None,None,None,None,0,0,0,0,0,4,431,77,0,0,0,0,0,0,0,0,0,0,0,0
89,511,13,0,None,None,None,None,0,0,0,0,0,6,430,76,0,0,0,0,0,0,0,0,0,0,0,0
90,511,13,0,None,None,None,None,0,0,0,0,0,6,428,77,1,0,0,0,0,0,0,0,0,0,0,0
91,511,12,0,None,None,None,None,0,0,0,0,0,6,430,73,3,0,0,0,0,0,0,0,0,0,0,0
92,511,12,0,None,None,None,None,0,0,0,0,0,2,438,66,6,0,0,0,0,0,0,0,0,0,0,0
93,511,12,0,None,None,None,None,0,0,0,0,0,2,446,58,6,0,0,0,0,0,0,0,0,0,0,0
94,511,12,0,None,None,None,None,0,0,0,0,0,5,446,56,5,0,0,0,0,0,0,0,0,0,0,0
95,511,12,0,None,None,None,None,0,0,0,0,0,1,458,46,7,0,0,0,0,0,0,0,0,0,0,0
96,511,12,0,None,None,None,None,0,0,0,0,0,0,450,55,7,0,0,0,0,0,0,0,0,0,0,0
97,511,12,0,None,None,None,None,0,0,0,0,0,5,445,56,6,0,0,0,0,0,0,0,0,0,0,0
98,511,12,0,None,None,None,None,0,0,0,0,0,2,449,55,6,0,0,0,0,0,0,0,0,0,0,0
99,511,12,0,None,None,None,None,0,0,0,0,0,2,449,56,5,0,0,0,0,0,0,0,0,0,0,0
100,511,12,0,None,None,None,None,0,0,0,0,0,4,456,50,2,0,0,0,0,0,0,0,0,0,0,0
101,511,12,0,None,None,None,None,0,0,0,0,0,1,460,49,2,0,0,0,0,0,0,0,0,0,0,0
102,511,12,0,None,None,None,None,0,0,0,0,0,6,455,50,1,0,0,0,0,0,0,0,0,0,0,0
103,511,12,0,None,None,None,None,0,0,0,0,0,4,448,59,1,0,0,0,0,0,0,0,0,0,0,0
104,511,12,0,None,None,None,None,0,0,0,0,0,3,454,55,0,0,0,0,0,0,0,0,0,0,0,0
105,511,12,0,None,None,None,None,0,0,0,0,0,1,456,53,2,0,0,0,0,0,0,0,0,0,0,0
106,511,12,0,None,None,None,None,0,0,0,0,0,3,448,59,2,0,0,0,0,0,0,0,0,0,0,0
107,511,12,0,None,None,None,None,0,0,0,0,0,2,442,67,1,0,0,0,0,0,0,0,0,0,0,0
108,511,12,0,None,None,None,None,0,0,0,0,0,1,454,56,1,0,0,0,0,0,0,0,0,0,0,0
109,511,12,0,None,None,None,None,0,0,0,0,0,2,457,53,0,0,0,0,0,0,0,0,0,0,0,0
110,511,12,0,None,None,None,None,0,0,0,0,0,2,455,55,0,0,0,0,0,0,0,0,0,0,0,0
111,511,12,0,None,None,None,None,0,0,0,0,0,3,452,57,0,0,0,0,0,0,0,0,0,0,0,0
112,511,12,0,None,None,None,None,0,0,0,0,0,1,451,60,0,0,0,0,0,0,0,0,0,0,0,0
113,511,12,0,None,None,None,None,0,0,0,0,0,4,449,58,1,0,0,0,0,0,0,0,0,0,0,0
114,511,12,0,None,None,None,None,0,0,0,0,0,4,451,56,1,0,0,0,0,0,0,0,0,0,0,0
115,511,12,0,None,None,None,None,0,0,0,0,0,4,455,53,0,0,0,0,0,0,0,0,0,0,0,0
116,511,12,0,None,None,None,None,0,0,0,0,0,3,456,53,0,0,0,0,0,0,0,0,0,0,0,0
117,511,12,0,None,None,None,None,0,0,0,0,0,4,446,62,0,0,0,0,0,0,0,0,0,0,0,0
118,511,12,0,None,None,None,None,0,0,0,0,0,5,442,65,0,0,0,0,0,0,0,0,0,0,0,0
119,511,12,0,None,None,None,None,0,0,0,0,0,2,445,65,0,0,0,0,0,0,0,0,0,0,0,0
120,511,12,0,None,None,None,None,0,0,0,0,0,4,441,67,0,0,0,0,0,0,0,0,0,0,0,0
121,511,12,0,None,None,None,None,0,0,0,0,0,2,442,68,0,0,0,0,0,0,0,0,0,0,0,0
122,511,12,0,None,None,None,None,0,0,0,0,0,0,445,65,2,0,0,0,0,0,0,0,0,0,0,0
123,511,12,0,None,None,None,None,0,0,0,0,0,1,443,65,3,0,0,0,0,0,0,0,0,0,0,0
124,511,12,0,None,None,None,None,0,0,0,0,0,4,439,63,6,0,0,0,0,0,0,0,0,0,0,0
125,511,12,0,None,None,None,None,0,0,0,0,0,0,447,61,4,0,0,0,0,0,0,0,0,0,0,0
126,511,12,0,None,None,None,None,0,0,0,0,0,1,449,59,2,1,0,0,0,0,0,0,0,0,0,0
127,511,12,0,None,None,None,None,0,0,0,0,0,2,441,64,4,1,0,0,0,0,0,0,0,0,0,0
128,511,12,0,None,None,None,None,0,0,0,0,0,4,445,58,3,2,0,0,0,0,0,0,0,0,0,0
129,511,12,0,None,None,None,None,0,0,0,0,0,2,447,59,3,1,0,0,0,0,0,0,0,0,0,0
130,511,12,0,None,None,None,None,0,0,0,0,0,3,447,57,3,2,0,0,0,0,0,0,0,0,0,0
131,511,12,0,None,None,None,None,0,0,0,0,0,0,448,59,3,2,0,0,0,0,0,0,0,0,0,0
132,511,12,0,None,None,None,None,0,0,0,0,0,3,447,55,5,2,0,0,0,0,0,0,0,0,0,0
133,511,12,0,None,None,None,None,0,0,0,0,0,2,439,62,6,3,0,0,0,0,0,0,0,0,0,0
134,511,12,0,None,None,None,None,0,0,0,0,0,3,443,57,7,2,0,0,0,0,0,0,0,0,0,0
135,511,12,0,None,None,None,None,0,0,0,0,0,1,442,59,8,2,0,0,0,0,0,0,0,0,0,0
136,511,12,0,None,None,None,None,0,0,0,0,0,8,435,58,10,1,0,0,0,0,0,0,0,0,0,0
137,511,12,0,None,None,None,None,0,0,0,0,0,5,437,61,9,0,0,0,0,0,0,0,0,0,0,0
138,511,12,0,None,None,None,None,0,0,0,0,0,3,434,69,6,0,0,0,0,0,0,0,0,0,0,0
139,511,12,0,None,None,None,None,0,0,0,0,0,1,436,70,5,0,0,0,0,0,0,0,0,0,0,0
140,511,12,0,None,None,None,None,0,0,0,0,0,5,429,72,6,0,0,0,0,0,0,0,0,0,0,0
141,511,12,0,None,None,None,None,0,0,0,0,0,3,435,68,6,0,0,0,0,0,0,0,0,0,0,0
142,511,12,0,None,None,None,None,0,0,0,0,0,1,432,67,12,0,0,0,0,0,0,0,0,0,0,0
143,511,12,0,None,None,None,None,0,0,0,0,0,0,422,77,13,0,0,0,0,0,0,0,0,0,0,0
144,511,12,0,None,None,None,None,0,0,0,0,0,3,419,78,12,0,0,0,0,0,0,0,0,0,0,0
145,511,12,0,None,None,None,None,0,0,0,0,0,5,416,78,13,0,0,0,0,0,0,0,0,0,0,0
