slurm_task_id,trial_id,sweep_time
1,1,304
1,2,301
1,3,315
1,4,308
1,5,317
1,6,292
1,7,302
1,8,312
1,9,308
1,10,306
1,11,327
1,12,316
1,13,321
1,14,328
1,15,306
1,16,309
1,17,316
1,18,321
1,19,311
1,20,306
1,21,308
1,22,315
1,23,324
1,24,323
1,25,323
1,26,297
1,27,305
1,28,303
1,29,304
1,30,318
1,31,319
1,32,303
1,33,304
1,34,318
1,35,318
1,36,309
1,37,341
1,38,310
1,39,324
1,40,306
1,41,307
1,42,314
1,43,323
1,44,311
1,45,321
1,46,299
1,47,306
1,48,317
1,49,313
1,50,304
1,51,294
1,52,308
1,53,300
1,54,314
1,55,297
1,56,305
1,57,318
1,58,316
1,59,299
1,60,307
1,61,312
1,62,301
1,63,315
1,64,323
1,65,319
1,66,319
1,67,304
1,68,296
1,69,310
1,70,300
1,71,322
1,72,313
1,73,311
1,74,304
1,75,310
1,76,307
1,77,295
1,78,315
1,79,310
1,80,309
1,81,300
1,82,314
1,83,314
1,84,306
1,85,297
1,86,315
1,87,315
1,88,312
1,89,307
1,90,307
1,91,316
1,92,322
1,93,318
1,94,302
1,95,302
1,96,303
1,97,292
1,98,311
1,99,324
1,100,310
2,1,311
2,2,313
2,3,331
2,4,306
2,5,312
2,6,312
2,7,302
2,8,297
2,9,309
2,10,299
2,11,311
2,12,306
2,13,298
2,14,321
2,15,301
2,16,322
2,17,297
2,18,311
2,19,314
2,20,315
2,21,322
2,22,317
2,23,309
2,24,308
2,25,311
2,26,293
2,27,312
2,28,322
2,29,321
2,30,295
2,31,321
2,32,310
2,33,314
2,34,301
2,35,320
2,36,304
2,37,311
2,38,310
2,39,309
2,40,310
2,41,297
2,42,323
2,43,308
2,44,292
2,45,334
2,46,299
2,47,288
2,48,312
2,49,304
2,50,332
2,51,297
2,52,304
2,53,327
2,54,310
2,55,313
2,56,310
2,57,316
2,58,303
2,59,312
2,60,310
2,61,316
2,62,314
2,63,326
2,64,303
2,65,296
2,66,299
2,67,317
2,68,308
2,69,295
2,70,320
2,71,312
2,72,330
2,73,288
2,74,315
2,75,318
2,76,320
2,77,312
2,78,313
2,79,315
2,80,321
2,81,310
2,82,289
2,83,313
2,84,317
2,85,311
2,86,290
2,87,319
2,88,305
2,89,321
2,90,307
2,91,333
2,92,312
2,93,324
2,94,312
2,95,293
2,96,329
2,97,329
2,98,323
2,99,310
2,100,309
3,1,317
3,2,312
3,3,289
3,4,313
3,5,329
3,6,318
3,7,310
3,8,307
3,9,316
3,10,300
3,11,313
3,12,303
3,13,303
3,14,314
3,15,313
3,16,299
3,17,290
3,18,326
3,19,298
3,20,309
3,21,308
3,22,304
3,23,314
3,24,299
3,25,311
3,26,308
3,27,312
3,28,308
3,29,316
3,30,313
3,31,307
3,32,310
3,33,304
3,34,325
3,35,301
3,36,305
3,37,328
3,38,301
3,39,311
3,40,310
3,41,311
3,42,316
3,43,309
3,44,313
3,45,338
3,46,316
3,47,286
3,48,302
3,49,308
3,50,306
3,51,310
3,52,319
3,53,315
3,54,325
3,55,311
3,56,320
3,57,317
3,58,310
3,59,318
3,60,302
3,61,318
3,62,321
3,63,313
3,64,304
3,65,298
3,66,304
3,67,318
3,68,313
3,69,306
3,70,311
3,71,302
3,72,322
3,73,297
3,74,322
3,75,315
3,76,289
3,77,330
3,78,306
3,79,308
3,80,304
3,81,315
3,82,310
3,83,298
3,84,316
3,85,321
3,86,298
3,87,305
3,88,315
3,89,319
3,90,295
3,91,319
3,92,300
3,93,297
3,94,302
3,95,309
3,96,318
3,97,305
3,98,301
3,99,311
3,100,324
4,1,308
4,2,310
4,3,309
4,4,303
4,5,301
4,6,303
4,7,331
4,8,320
4,9,315
4,10,303
4,11,317
4,12,303
4,13,298
4,14,309
4,15,328
4,16,336
4,17,306
4,18,300
4,19,321
4,20,299
4,21,306
4,22,317
4,23,308
4,24,308
4,25,324
4,26,319
4,27,312
4,28,326
4,29,305
4,30,330
4,31,311
4,32,325
4,33,298
4,34,311
4,35,310
4,36,313
4,37,324
4,38,303
4,39,297
4,40,295
4,41,299
4,42,302
4,43,316
4,44,319
4,45,314
4,46,311
4,47,310
4,48,300
4,49,320
4,50,313
4,51,326
4,52,312
4,53,292
4,54,325
4,55,327
4,56,304
4,57,312
4,58,326
4,59,325
4,60,312
4,61,309
4,62,315
4,63,315
4,64,315
4,65,316
4,66,314
4,67,322
4,68,315
4,69,301
4,70,329
4,71,298
4,72,296
4,73,303
4,74,304
4,75,316
4,76,311
4,77,331
4,78,306
4,79,308
4,80,316
4,81,305
4,82,310
4,83,310
4,84,300
4,85,297
4,86,311
4,87,298
4,88,313
4,89,306
4,90,315
4,91,307
4,92,332
4,93,293
4,94,308
4,95,315
4,96,321
4,97,311
4,98,303
4,99,319
4,100,293
5,1,302
5,2,310
5,3,296
5,4,297
5,5,310
5,6,304
5,7,301
5,8,296
5,9,326
5,10,295
5,11,304
5,12,297
5,13,300
5,14,308
5,15,317
5,16,302
5,17,313
5,18,325
5,19,312
5,20,304
5,21,319
5,22,313
5,23,299
5,24,327
5,25,311
5,26,316
5,27,310
5,28,306
5,29,321
5,30,307
5,31,309
5,32,314
5,33,318
5,34,322
5,35,303
5,36,320
5,37,317
5,38,304
5,39,325
5,40,292
5,41,328
5,42,305
5,43,312
5,44,303
5,45,315
5,46,308
5,47,291
5,48,294
5,49,306
5,50,319
5,51,323
5,52,319
5,53,308
5,54,309
5,55,300
5,56,296
5,57,307
5,58,304
5,59,306
5,60,291
5,61,315
5,62,302
5,63,313
5,64,325
5,65,304
5,66,313
5,67,321
5,68,318
5,69,309
5,70,305
5,71,306
5,72,303
5,73,299
5,74,315
5,75,301
5,76,312
5,77,307
5,78,302
5,79,318
5,80,344
5,81,301
5,82,305
5,83,326
5,84,296
5,85,316
5,86,327
5,87,328
5,88,330
5,89,325
5,90,305
5,91,312
5,92,297
5,93,314
5,94,321
5,95,320
5,96,306
5,97,335
5,98,309
5,99,303
5,100,294
6,1,310
6,2,311
6,3,304
6,4,314
6,5,312
6,6,311
6,7,304
6,8,291
6,9,320
6,10,301
6,11,317
6,12,310
6,13,309
6,14,305
6,15,313
6,16,299
6,17,294
6,18,325
6,19,314
6,20,318
6,21,297
6,22,298
6,23,323
6,24,318
6,25,307
6,26,315
6,27,312
6,28,296
6,29,313
6,30,313
6,31,312
6,32,311
6,33,317
6,34,310
6,35,304
6,36,312
6,37,305
6,38,321
6,39,306
6,40,325
6,41,307
6,42,324
6,43,310
6,44,301
6,45,307
6,46,285
6,47,319
6,48,308
6,49,318
6,50,319
6,51,308
6,52,307
6,53,305
6,54,322
6,55,315
6,56,306
6,57,289
6,58,308
6,59,310
6,60,310
6,61,322
6,62,318
6,63,326
6,64,316
6,65,310
6,66,319
6,67,302
6,68,300
6,69,302
6,70,316
6,71,301
6,72,297
6,73,301
6,74,321
6,75,316
6,76,324
6,77,297
6,78,304
6,79,294
6,80,317
6,81,317
6,82,315
6,83,315
6,84,319
6,85,307
6,86,317
6,87,300
6,88,305
6,89,317
6,90,311
