"leading_edge_index","leading_edge_val","count","crossed_frac"
0,12,1749,0.1749
0,13,2478,0.2478
0,14,4080,0.408
0,15,6493,0.6493
0,16,8798,0.8798
0,17,9394,0.9394
8,12,1739,0.1739
8,13,2552,0.2552
8,14,4176,0.4176
8,15,6603,0.6603
8,16,8921,0.8921
8,17,9810,0.981
16,12,1640,0.164
16,13,2501,0.2501
16,14,4061,0.4061
16,15,6461,0.6461
16,16,8946,0.8946
16,17,9824,0.9824
24,12,1631,0.1631
24,13,2499,0.2499
24,14,4042,0.4042
24,15,6497,0.6497
24,16,8965,0.8965
24,17,9837,0.9837
32,12,1598,0.1598
32,13,2359,0.2359
32,14,4052,0.4052
32,15,6434,0.6434
32,16,8910,0.891
32,17,9815,0.9815
40,12,1576,0.1576
40,13,2268,0.2268
40,14,4015,0.4015
40,15,6427,0.6427
40,16,8918,0.8918
40,17,9824,0.9824
48,12,1461,0.1461
48,13,2284,0.2284
48,14,3971,0.3971
48,15,6383,0.6383
48,16,8912,0.8912
48,17,9826,0.9826
56,12,1537,0.1537
56,13,2249,0.2249
56,14,3925,0.3925
56,15,6318,0.6318
56,16,8903,0.8903
56,17,9818,0.9818
64,12,1486,0.1486
64,13,2207,0.2207
64,14,3773,0.3773
64,15,6287,0.6287
64,16,8855,0.8855
64,17,9792,0.9792
72,12,1383,0.1383
72,13,2145,0.2145
72,14,3891,0.3891
72,15,6311,0.6311
72,16,8872,0.8872
72,17,9828,0.9828
80,12,1337,0.1337
80,13,2113,0.2113
80,14,3668,0.3668
80,15,6296,0.6296
80,16,8875,0.8875
80,17,9820,0.982
88,12,1298,0.1298
88,13,2060,0.206
88,14,3718,0.3718
88,15,6260,0.626
88,16,8878,0.8878
88,17,9811,0.9811
96,12,1291,0.1291
96,13,1985,0.1985
96,14,3645,0.3645
96,15,6294,0.6294
96,16,8794,0.8794
96,17,9827,0.9827
104,12,1155,0.1155
104,13,1975,0.1975
104,14,3579,0.3579
104,15,6283,0.6283
104,16,8792,0.8792
104,17,9817,0.9817
112,12,1163,0.1163
112,13,1906,0.1906
112,14,3616,0.3616
112,15,6120,0.612
112,16,8835,0.8835
112,17,9826,0.9826
120,12,1161,0.1161
120,13,1840,0.184
120,14,3498,0.3498
120,15,6130,0.613
120,16,8842,0.8842
120,17,9816,0.9816
128,12,1064,0.1064
128,13,1816,0.1816
128,14,3511,0.3511
128,15,5941,0.5941
128,16,8775,0.8775
128,17,9802,0.9802
136,12,1047,0.1047
136,13,1825,0.1825
136,14,3426,0.3426
136,15,6086,0.6086
136,16,8761,0.8761
136,17,9817,0.9817
144,12,1049,0.1049
144,13,1761,0.1761
144,14,3390,0.339
144,15,6061,0.6061
144,16,8761,0.8761
144,17,9789,0.9789
152,12,938,0.0938
152,13,1679,0.1679
152,14,3319,0.3319
152,15,5959,0.5959
152,16,8744,0.8744
152,17,9792,0.9792
160,12,945,0.0945
160,13,1695,0.1695
160,14,3329,0.3329
160,15,5982,0.5982
160,16,8720,0.872
160,17,9793,0.9793
168,12,841,0.0841
168,13,1596,0.1596
168,14,3188,0.3188
168,15,5964,0.5964
168,16,8749,0.8749
168,17,9796,0.9796
176,12,829,0.0829
176,13,1525,0.1525
176,14,3206,0.3206
176,15,5841,0.5841
176,16,8717,0.8717
176,17,9776,0.9776
184,12,817,0.0817
184,13,1480,0.148
184,14,3156,0.3156
184,15,5769,0.5769
184,16,8706,0.8706
184,17,9807,0.9807
192,12,687,0.0687
192,13,1381,0.1381
192,14,3151,0.3151
192,15,5790,0.579
192,16,8684,0.8684
192,17,9783,0.9783
200,12,759,0.0759
200,13,1408,0.1408
200,14,2958,0.2958
200,15,5727,0.5727
200,16,8664,0.8664
200,17,9782,0.9782
208,12,652,0.0652
208,13,1308,0.1308
208,14,2917,0.2917
208,15,5628,0.5628
208,16,8682,0.8682
208,17,9793,0.9793
216,12,680,0.068
216,13,1229,0.1229
216,14,2888,0.2888
216,15,5564,0.5564
216,16,8680,0.868
216,17,9747,0.9747
224,12,586,0.0586
224,13,1206,0.1206
224,14,2787,0.2787
224,15,5550,0.555
224,16,8682,0.8682
224,17,9764,0.9764
232,12,547,0.0547
232,13,1161,0.1161
232,14,2775,0.2775
232,15,5515,0.5515
232,16,8637,0.8637
232,17,9777,0.9777
240,12,504,0.0504
240,13,1122,0.1122
240,14,2677,0.2677
240,15,5433,0.5433
240,16,8663,0.8663
240,17,9761,0.9761
248,12,485,0.0485
248,13,1108,0.1108
248,14,2700,0.27
248,15,5445,0.5445
248,16,8566,0.8566
248,17,9784,0.9784
256,12,421,0.0421
256,13,1037,0.1037
256,14,2683,0.2683
256,15,5302,0.5302
256,16,8565,0.8565
256,17,9768,0.9768
264,12,425,0.0425
264,13,984,0.0984
264,14,2529,0.2529
264,15,5228,0.5228
264,16,8551,0.8551
264,17,9775,0.9775
272,12,372,0.0372
272,13,970,0.097
272,14,2386,0.2386
272,15,5277,0.5277
272,16,8504,0.8504
272,17,9781,0.9781
280,12,368,0.0368
280,13,837,0.0837
280,14,2284,0.2284
280,15,5152,0.5152
280,16,8555,0.8555
280,17,9764,0.9764
288,12,316,0.0316
288,13,840,0.084
288,14,2237,0.2237
288,15,5108,0.5108
288,16,8454,0.8454
288,17,9796,0.9796
296,12,303,0.0303
296,13,767,0.0767
296,14,2217,0.2217
296,15,5021,0.5021
296,16,8416,0.8416
296,17,9748,0.9748
304,12,276,0.0276
304,13,752,0.0752
304,14,2074,0.2074
304,15,4914,0.4914
304,16,8422,0.8422
304,17,9770,0.977
312,12,239,0.0239
312,13,664,0.0664
312,14,1994,0.1994
312,15,4783,0.4783
